Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra (*)
1;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,0970651;0,0885596;20170323T192152;60,01061;0;Estacionario;(0.000,1.650,0.000);(0.000,1.650,0.000);(0.000,1.049,0.000);(2.087,0.799,-0.889);(2.087,0.798,-0.889);(20.253,0.500,-20.000);0;0;0;0;0;0;0;0;28,46373;0;0;28,46373;0;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
2;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,1736153;0,0765502;20170323T192152;60,00774;0;Estacionario;(0.000,1.650,0.000);(0.000,1.650,0.000);(-0.001,1.053,-0.008);(2.088,0.800,-0.890);(2.087,0.799,-0.889);(20.253,0.500,-20.000);0;0;0;0;0,001414322;0;0;0,001414322;28,46373;0;0;28,46373;0,01612129;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
3;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,2471643;0,073549;20170323T192152;60,00564;0;Estacionario;(0.001,1.650,-0.001);(0.000,1.650,0.000);(-0.002,1.049,-0.003);(2.090,0.801,-0.890);(2.088,0.800,-0.890);(20.253,0.500,-20.000);0,001416515;0;0;0,001416515;0,001999855;0;0;0,001999855;28,46231;0;0;28,46231;0,03343198;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
4;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,3227155;0,0755512;20170323T192153;60,00411;0;Estacionario;(0.003,1.650,-0.001);(0.001,1.650,-0.001);(-0.005,1.043,0.003);(2.091,0.802,-0.891);(2.090,0.801,-0.890);(20.253,0.500,-20.000);0,001998901;0;0;0,001998901;0,001414322;0;0;0,001414322;28,46089;0;0;28,46089;0,0289502;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
5;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,39026;0,0675445;20170323T192153;60,00299;0;Estacionario;(0.004,1.650,-0.002);(0.003,1.650,-0.001);(-0.006,1.040,0.007);(2.091,0.802,-0.890);(2.091,0.802,-0.891);(20.253,0.500,-20.000);0,001413816;0;0;0,001413816;0,0009999871;0;0;0,0009999871;28,45948;0;0;28,45948;0,02701196;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
6;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,4585211;0,0682611;20170323T192153;60,00218;0;Estacionario;(0.004,1.650,-0.001);(0.004,1.650,-0.002);(-0.006,1.037,0.013);(2.091,0.802,-0.890);(2.091,0.802,-0.890);(20.253,0.500,-20.000);0,0009999871;0;0;0,0009999871;0;0;0;0;28,46018;0;0;28,46018;0,01438582;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
7;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,5140586;0,0555375;20170323T192153;60,00177;0;Estacionario;(0.004,1.650,-0.001);(0.004,1.650,-0.001);(-0.006,1.033,0.020);(2.091,0.802,-0.890);(2.091,0.802,-0.890);(20.253,0.500,-20.000);0;0;0;0;0;0;0;0;28,46018;0;0;28,46018;0,007662518;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
8;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,5610909;0,0470323;20170323T192153;60,00143;0;Estacionario;(0.004,1.650,-0.001);(0.004,1.650,-0.001);(-0.006,1.032,0.024);(2.091,0.802,-0.889);(2.091,0.802,-0.890);(20.253,0.500,-20.000);0;0;0;0;0,0009999871;0;0;0,0009999871;28,46018;0;0;28,46018;0,01639704;0;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
9;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,6106221;0,0495312;20170323T192153;60,00116;0;Estacionario;(0.004,1.650,0.000);(0.004,1.650,-0.001);(-0.006,1.030,0.026);(2.091,0.802,-0.889);(2.091,0.802,-0.889);(20.253,0.500,-20.000);0,0009999945;0;0;0,0009999945;0;0;0;0;28,46089;0;0;28,46089;0,008734206;0;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
10;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,6831702;0,0725481;20170323T192153;60,00085;0;Estacionario;(0.004,1.650,0.000);(0.004,1.650,0.000);(-0.007,1.030,0.027);(2.090,0.801,-0.889);(2.091,0.802,-0.889);(20.253,0.500,-20.000);0;0;0;0;0,001000166;0;0;0,001000166;28,46089;0;0;28,46089;0,01736715;0;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
11;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,7307036;0,0475334;20170323T192153;60,00069;0;Estacionario;(0.003,1.650,0.000);(0.004,1.650,0.000);(-0.008,1.029,0.027);(2.089,0.800,-0.889);(2.090,0.801,-0.889);(20.253,0.500,-20.000);0,0009994507;0;0;0,0009994507;0,0009999275;0;0;0,0009999275;28,4616;0;0;28,4616;0,02196338;0;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
12;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,7803852;0,0496816;20170323T192153;60,00056;0;Estacionario;(0.002,1.650,0.000);(0.003,1.650,0.000);(-0.009,1.029,0.025);(2.089,0.800,-0.890);(2.089,0.800,-0.889);(20.253,0.500,-20.000);0,000995636;0;0;0,000995636;0,0009999871;0;0;0,0009999871;28,46231;0;0;28,46231;0,02401381;0;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
13;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,8559342;0,075549;20170323T192153;60,0004;0;Estacionario;(0.002,1.650,-0.001);(0.002,1.650,0.000);(-0.010,1.029,0.025);(2.089,0.799,-0.890);(2.089,0.800,-0.890);(20.253,0.500,-20.000);0,0009999871;0;0;0,0009999871;0;0;0;0;28,46161;0;0;28,46161;0,01279148;0;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
14;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,9035747;0,0476405;20170323T192153;60,00032;0;Estacionario;(0.002,1.650,-0.001);(0.002,1.650,-0.001);(-0.012,1.027,0.024);(2.089,0.799,-0.890);(2.089,0.799,-0.890);(20.253,0.500,-20.000);3,814697E-06;0;0;3,814697E-06;0;0;0;0;28,46161;0;0;28,46161;0,006813665;0;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
15;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,9581791;0,0546044;20170323T192153;60,00026;0;Estacionario;(0.002,1.650,-0.001);(0.002,1.650,-0.001);(-0.011,1.028,0.024);(2.088,0.799,-0.889);(2.089,0.799,-0.890);(20.253,0.500,-20.000);0;0;0;0;0,001414153;0;0;0,001414153;28,46161;0;0;28,46161;0,01654894;0;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
16;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,0274322;0,0692531;20170323T192153;60,00019;0;Estacionario;(0.001,1.650,0.000);(0.002,1.650,-0.001);(-0.011,1.029,0.023);(2.087,0.797,-0.888);(2.088,0.799,-0.889);(20.253,0.500,-20.000);0,001413816;0;0;0,001413816;0,001414322;0;0;0,001414322;28,46302;0;0;28,46302;0,02623308;0;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
17;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,0839701;0,0565379;20170323T192153;60,00015;0;Estacionario;(0.000,1.650,0.001);(0.001,1.650,0.000);(-0.009,1.032,0.022);(2.087,0.795,-0.887);(2.087,0.797,-0.888);(20.253,0.500,-20.000);0,001413816;0;0;0,001413816;0,0009999871;0;0;0,0009999871;28,46443;0;0;28,46443;0,02382534;0;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
18;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,1470108;0,0630407;20170323T192153;60,00013;0;Estacionario;(0.000,1.650,0.002);(0.000,1.650,0.001);(-0.008,1.033,0.021);(2.086,0.793,-0.886);(2.087,0.795,-0.887);(20.253,0.500,-20.000);0,0009999871;0;0;0,0009999871;0,001414195;0;0;0,001414195;28,46514;0;0;28,46514;0,02735798;0;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
19;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,2075523;0,0605415;20170323T192153;60,0001;0;Estacionario;(-0.001,1.650,0.003);(0.000,1.650,0.002);(-0.006,1.036,0.019);(2.086,0.793,-0.885);(2.086,0.793,-0.886);(20.253,0.500,-20.000);0,001413858;0;0;0,001413858;0,0009999871;0;0;0,0009999871;28,46655;0;0;28,46655;0,02616257;0;0;0,8;True;1;Unknown;Unknown;0;1;False;NULL
20;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,2675903;0,060038;20170323T192154;60,00008;0;Estacionario;(-0.001,1.650,0.004);(-0.001,1.650,0.003);(-0.005,1.038,0.018);(2.086,0.793,-0.885);(2.086,0.793,-0.885);(20.253,0.500,-20.000);0,0009999871;0;0;0,0009999871;0;0;0;0;28,46725;0;0;28,46725;0,01393607;0;0;0,8;False;1;Unknown;Unknown;0;1;False;NULL
