Registo;Tempo Absoluto (Segundos);Metodo de Deslocamento Em Uso;Estado Actual;Vel. Real (Directa, Normal);Vel. Real (Directa, Kalman);Vel. Virtual in Use (WIP);Vel. Virtual (WIP, Normal);Vel. Virtual (WIP, Kalman);Vel. Virtual (WIP, Event, Normal);Vel. Virtual (WIP, Event, Kalman);Vel. Virtual * Aumento (WIP);Vel. Virtual * Aumento (WIP) * Delta;Delta;Joint Vel. Real (Vector 2);Joint Camera (Vector 3);Joelho Direito (y);Joelho Esquerdo (y);Desvio Joelho Direito;Desvio Joelho Esquerdo;Desvio Joelho Geral;Desvio Joelho Kalman;Direito FootStates (WIP);Esquerdo FootStates (WIP);Direito FootTransitionEvents (WIP);Esquerdo FootTransitionEvents (WIP);N. Passos Total (WIP);N. Passos Direito (WIP);N. Passos Esquerdo (WIP);Distancia Direct;Distancia Wip;Distancia Estacionario;Distancia do anterior;Altura;Threshold de Velocidade Directa;Threshold de Velocidade WIP;Threshold Diff Knee;Threshold do Passo (WIP);Velocidade Inicial WIP;Velocidade Maxima WIP;Nome Joint Vel. Real;Nome Joint Camera;Tempo;Aumento (WIP);Id;Nivel;WIP Mode;Vel. Real (Directa, Kalman, Base);Begin Stop Active;Direito FootStates (WIP, Int);Esquerdo FootStates (WIP, Int);Direito FootTransitionEvents (WIP, Int);Esquerdo FootTransitionEvents (WIP, Int);Joelho Direito (y, Kalman);Joelho Esquerdo (y, Kalman);Vel. Virtual in Use (Estado, WIP)
0;0,009419;CWIP;Estacionario;0;0;0;0;0;0;0;0;0;0;( -0.530f, -0.192f );( -0.424f, 1.329f, -0.113f );0,124;0,115;0,008999996;0;0,008999996;0,002822018;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;1,65;0;0;0;1,861344;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142555;1;11;03_Sc_CWIP_Passthrough;Event;0;True;0;0;0;0;0,06230569;0,05778351;0
1;0,187702;CWIP;Estacionario;0,2361279;0,05353025;0;0;0;0;0;0;0;0;( -0.557f, -0.173f );( -0.457f, 1.336f, -0.073f );0,122;0,111;0,011;0;0,011;0,003837828;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,864182;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142555;1;11;03_Sc_CWIP_Passthrough;Event;0,05353025;True;0;0;0;0;0,08474845;0,07779086;0
2;0,289459;CWIP;Estacionario;0,2783393;0,08482752;0;0;0;0;0;0;0;0;( -0.580f, -0.160f );( -0.490f, 1.337f, -0.055f );0,125;0,109;0,016;0;0,016;0,005269602;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0330155;0;0;0,0330155;1,86004;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142555;1;11;03_Sc_CWIP_Passthrough;Event;0,08482752;True;0;0;0;0;0,0977286;0,08785504;0
3;0,37225;CWIP;Estacionario;1,230035;0,2901584;0;0;0;0;0;0;0;0;( -0.501f, -0.215f );( -0.399f, 1.311f, -0.194f );0,131;0,119;0,01199999;0;0,01199999;0,005177471;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,02641865;0;0;0,02641865;1,830087;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142555;1;11;03_Sc_CWIP_Passthrough;Event;0,2901584;True;0;0;0;0;0,1076102;0,0971051;0
4;0,458725;CWIP;Estacionario;1,477337;0,4464467;0;0;0;0;0;0;0;0;( -0.600f, -0.149f );( -0.522f, 1.335f, -0.058f );0,126;0,108;0,018;0;0,018;0,006312245;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,09625889;0;0;0,09625889;1,843666;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142555;1;11;03_Sc_CWIP_Passthrough;Event;0,4464467;True;0;0;0;0;0,1128362;0,1002012;0
5;0,539305;CWIP;Estacionario;1,317156;0,4976011;0;0;0;0;0;0;0;0;( -0.516f, -0.202f );( -0.408f, 1.324f, -0.142f );0,126;0,117;0,009000003;0;0,009000003;0,005136343;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,1189824;0;0;0,1189824;1,852996;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142555;1;11;03_Sc_CWIP_Passthrough;Event;0,4976011;True;0;0;0;0;0,1164898;0,1048637;0
6;0,682682;CWIP;Direct;1,622386;0,8015688;0;0;0;0;0;0;0;0;( -0.607f, -0.142f );( -0.541f, 1.323f, -0.095f );0,124;0,104;0;0;0;0,003748271;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0,09932239;1,814482;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142555;1;11;03_Sc_CWIP_Passthrough;Event;0,8015688;True;0;0;0;0;0,1185482;0,104627;0
7;0,762584;CWIP;Estacionario;0,7827233;0,5812835;0;0;0;0;0;0;0;0;( -0.557f, -0.173f );( -0.457f, 1.336f, -0.073f );0,122;0,111;0,011;0;0,011;0,004165595;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,1089997;0;0;0,1089997;1,864182;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142555;1;11;03_Sc_CWIP_Passthrough;Event;0,5812835;True;0;0;0;0;0,1194879;0,106362;0
8;0,823386;CWIP;Estacionario;0,4689248;0,4020871;0;0;0;0;0;0;0;0;( -0.580f, -0.160f );( -0.490f, 1.337f, -0.055f );0,125;0,109;0,016;0;0,016;0,005373709;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,05882961;0;0;0,05882961;1,86004;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142555;1;11;03_Sc_CWIP_Passthrough;Event;0,4020871;True;0;0;0;0;0,1209831;0,1070776;0
9;0,979162;CWIP;Estacionario;0,1489647;0,2435508;0;0;0;0;0;0;0;0;( -0.589f, -0.153f );( -0.539f, 1.297f, -0.187f );0,126;0,101;0,025;0;0,025;0,007791752;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,02641865;0;0;0,02641865;1,792151;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142555;1;11;03_Sc_CWIP_Passthrough;Event;0,2435508;True;0;0;0;0;0,1223414;0,1054321;0
10;1,061734;CWIP;Estacionario;0,2754818;0,1840498;0;0;0;0;0;0;0;0;( -0.607f, -0.142f );( -0.541f, 1.323f, -0.095f );0,124;0,104;0,02;0;0,02;0,008093887;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,01140387;0;0;0,01140387;1,814482;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142556;1;11;03_Sc_CWIP_Passthrough;Event;0,1840498;True;0;0;0;0;0,12279;0,1050448;0
11;1,144666;CWIP;Estacionario;0,726303;0,2412447;0;0;0;0;0;0;0;0;( -0.565f, -0.174f );( -0.520f, 1.279f, -0.247f );0,128;0,106;0,02200001;0;0,02200001;0,008649169;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,02109309;0;0;0,02109309;1,794076;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142556;1;11;03_Sc_CWIP_Passthrough;Event;0,2412447;True;0;0;0;0;0,1241984;0,105303;0
12;1,276237;CWIP;Estacionario;0;0,1285043;0;0;0;0;0;0;0;0;( -0.565f, -0.174f );( -0.520f, 1.279f, -0.247f );0,128;0,106;0,02200001;0;0,02200001;0,008944952;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,05280136;0;0;0,05280136;1,794076;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142556;1;11;03_Sc_CWIP_Passthrough;Event;0,1285043;True;0;0;0;0;0,1252258;0,1054913;0
13;1,347712;CWIP;Estacionario;0,2889222;0,1254179;0;0;0;0;0;0;0;0;( -0.552f, -0.188f );( -0.501f, 1.275f, -0.267f );0,129;0,11;0,01899999;0;0,01899999;0,008510989;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,797208;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142556;1;11;03_Sc_CWIP_Passthrough;Event;0,1254179;True;0;0;0;0;0,1262456;0,1067096;0
14;1,480512;CWIP;Estacionario;0,1515374;0,09668552;0;0;0;0;0;0;0;0;( -0.546f, -0.195f );( -0.490f, 1.275f, -0.272f );0,128;0,112;0,016;0;0,016;0,007688315;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0191053;0;0;0,0191053;1,797114;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142556;1;11;03_Sc_CWIP_Passthrough;Event;0,09668552;True;0;0;0;0;0,1267196;0,108139;0
15;1,545614;CWIP;Estacionario;0;0,05150167;0;0;0;0;0;0;0;0;( -0.546f, -0.195f );( -0.490f, 1.275f, -0.272f );0,128;0,112;0,016;0;0,016;0,007250099;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,009217399;0;0;0,009217399;1,797114;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142556;1;11;03_Sc_CWIP_Passthrough;Event;0,05150167;True;0;0;0;0;0,1270655;0,1091821;0
16;1,659928;CWIP;Estacionario;0,06591515;0,0404301;0;0;0;0;0;0;0;0;( -0.545f, -0.198f );( -0.483f, 1.279f, -0.262f );0,128;0,113;0,01500001;0;0,01500001;0,006819504;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;3,814697E-06;0;0;3,814697E-06;1,797652;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142556;1;11;03_Sc_CWIP_Passthrough;Event;0,0404301;True;0;0;0;0;0,127318;0,1102136;0
17;1,797126;CWIP;Estacionario;0,0545741;0,03229646;0;0;0;0;0;0;0;0;( -0.547f, -0.196f );( -0.483f, 1.282f, -0.253f );0,128;0,113;0,01500001;0;0,01500001;0,006590138;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,00316211;0;0;0,00316211;1,797398;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142556;1;11;03_Sc_CWIP_Passthrough;Event;0,03229646;True;0;0;0;0;0,1275022;0,1109663;0
18;1,859909;CWIP;Estacionario;0;0,01720342;0;0;0;0;0;0;0;0;( -0.547f, -0.196f );( -0.483f, 1.282f, -0.253f );0,128;0,113;0,01500001;0;0,01500001;0,00646796;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,002827653;0;0;0,002827653;1,797398;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142556;1;11;03_Sc_CWIP_Passthrough;Event;0,01720342;True;0;0;0;0;0,1276367;0,1115158;0
19;1,984721;CWIP;Estacionario;0,07113896;0,02319038;0;0;0;0;0;0;0;0;( -0.551f, -0.193f );( -0.486f, 1.285f, -0.244f );0,128;0,113;0,01500001;0;0,01500001;0,00640288;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,796529;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142557;1;11;03_Sc_CWIP_Passthrough;Event;0,02319038;True;0;0;0;0;0,1277349;0,1119167;0
20;2,070667;CWIP;Estacionario;0,05841631;0,02387092;0;0;0;0;0;0;0;0;( -0.554f, -0.190f );( -0.490f, 1.286f, -0.238f );0,127;0,112;0,015;0;0,015;0,006368212;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,005001289;0;0;0,005001289;1,796699;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142557;1;11;03_Sc_CWIP_Passthrough;Event;0,02387092;True;0;0;0;0;0,1275363;0,1119392;0
21;2,195081;CWIP;Estacionario;0;0,01271537;0;0;0;0;0;0;0;0;( -0.554f, -0.190f );( -0.490f, 1.286f, -0.238f );0,127;0,112;0,015;0;0,015;0,006349746;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,00424148;0;0;0,00424148;1,796699;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142557;1;11;03_Sc_CWIP_Passthrough;Event;0,01271537;True;0;0;0;0;0,1273914;0,1119557;0
22;2,265798;CWIP;Estacionario;0,04440834;0,01552919;0;0;0;0;0;0;0;0;( -0.556f, -0.188f );( -0.493f, 1.286f, -0.235f );0,127;0,111;0,016;0;0,016;0,006537081;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;3,814697E-06;0;0;3,814697E-06;1,794319;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142557;1;11;03_Sc_CWIP_Passthrough;Event;0,01552919;True;0;0;0;0;0,1272857;0,1116975;0
23;2,395848;CWIP;Estacionario;0;0,008271966;0;0;0;0;0;0;0;0;( -0.556f, -0.188f );( -0.493f, 1.286f, -0.235f );0,127;0,111;0,016;0;0,016;0,00663687;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,002827653;0;0;0,002827653;1,794319;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142557;1;11;03_Sc_CWIP_Passthrough;Event;0,008271966;True;0;0;0;0;0,1272085;0,111509;0
24;2,466935;CWIP;Estacionario;0,01617631;0,007595757;0;0;0;0;0;0;0;0;( -0.556f, -0.187f );( -0.495f, 1.286f, -0.236f );0,127;0,111;0,016;0;0,016;0,006690024;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,796204;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142557;1;11;03_Sc_CWIP_Passthrough;Event;0,007595757;True;0;0;0;0;0,1271522;0,1113715;0
25;2,584085;CWIP;Estacionario;0;0,004046047;0;0;0;0;0;0;0;0;( -0.556f, -0.187f );( -0.495f, 1.286f, -0.236f );0,127;0,111;0,016;0;0,016;0,006718338;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0009999945;0;0;0,0009999945;1,796204;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T142557;1;11;03_Sc_CWIP_Passthrough;Event;0,004046047;True;0;0;0;0;0,1271111;0,1112712;0
