Registo;Tempo Absoluto (Segundos);Metodo de Deslocamento Em Uso;Estado Actual;Vel. Real (Directa, Normal);Vel. Real (Directa, Kalman);Vel. Virtual in Use (WIP);Vel. Virtual (WIP, Normal);Vel. Virtual (WIP, Kalman);Vel. Virtual (WIP, Event, Normal);Vel. Virtual (WIP, Event, Kalman);Vel. Virtual * Aumento (WIP);Vel. Virtual * Aumento (WIP) * Delta;Delta;Joint Vel. Real (Vector 2);Joint Camera (Vector 3);Joelho Direito (y);Joelho Esquerdo (y);Desvio Joelho Direito;Desvio Joelho Esquerdo;Desvio Joelho Geral;Desvio Joelho Kalman;Direito FootStates (WIP);Esquerdo FootStates (WIP);Direito FootTransitionEvents (WIP);Esquerdo FootTransitionEvents (WIP);N. Passos Total (WIP);N. Passos Direito (WIP);N. Passos Esquerdo (WIP);Distancia Direct;Distancia Wip;Distancia Estacionario;Distancia do anterior;Altura;Threshold de Velocidade Directa;Threshold de Velocidade WIP;Threshold Diff Knee;Threshold do Passo (WIP);Velocidade Inicial WIP;Velocidade Maxima WIP;Nome Joint Vel. Real;Nome Joint Camera;Tempo;Aumento (WIP);Id;Nivel;WIP Mode;Vel. Real (Directa, Kalman, Base);Begin Stop Active;Direito FootStates (WIP, Int);Esquerdo FootStates (WIP, Int);Direito FootTransitionEvents (WIP, Int);Esquerdo FootTransitionEvents (WIP, Int);Joelho Direito (y, Kalman);Joelho Esquerdo (y, Kalman);Vel. Virtual in Use (Estado, WIP)
0;0,010377;CWIP;Estacionario;0;0;0,45;0,45;0,2261094;0,45;0,2261094;0,45;0;0;( 0.734f, -0.104f );( 0.740f, 1.056f, -0.065f );0,048;-0,037;0,085;0;0,085;0,0266524;RAISED_UP;ON_THE_FLOOR;ELEVATING;RESTING_DOWN;0;0;0;1,65;0;0;0;1,549041;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T134558;1;1;03_Sc_CWIP_Passthrough;Event;0;True;2;0;2;0;0,02411833;-0,01859122;0
1;0,092465;CWIP;Direct;3,447383;1,111697;0;0,6640625;0,2261094;0,5570313;0,2261094;0;0;0;( 0.619f, -0.044f );( 0.627f, 1.051f, -0.029f );0,084;0,002;0;0;0;0,01805765;RAISED_DOWN;ON_THE_FLOOR;MAX_REACHED;RESTING_DOWN;0;0;0;0;0;0;0;1,398993;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T134558;1;1;03_Sc_CWIP_Passthrough;Event;1,111697;True;1;0;3;0;0,04663153;-0,01084971;0
2;0,133857;CWIP;Direct;1,595414;1,255361;0;0;0,2261094;0,5570313;0,2261094;0;0;0;( 0.668f, -0.071f );( 0.673f, 1.053f, -0.048f );0,07;-0,03;0;0;0;0,01269453;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;1;1;0;0;0;0;0,1297127;1,471125;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T134558;1;1;03_Sc_CWIP_Passthrough;Event;1,255361;True;0;0;0;0;0,05416729;-0,01702521;0
5;0,435654;CWIP;Direct;2,259756;2,126447;0;0;0,2261094;0,5570313;0,2261094;0;0;0;( 0.427f, 0.052f );( 0.450f, 1.053f, 0.033f );0,135;0,039;0;0;0;0,004765623;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,519394;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T134558;1;1;03_Sc_CWIP_Passthrough;Event;2,126447;True;0;0;0;0;0,1005886;0,01755526;0
7;0,602699;CWIP;Direct;0;1,674582;0;0;0,2261094;0,5570313;0,2261094;0;0;0;( 0.381f, 0.045f );( 0.412f, 1.059f, 0.019f );0,142;0,066;0;0;0;0,002527437;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0,04653098;1,57942;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T134559;1;1;03_Sc_CWIP_Passthrough;Event;1,674582;True;0;0;0;0;0,1201223;0,04040654;0
8;0,72282;CWIP;Direct;3,008925;2,035849;0;0;0,2261094;0,5570313;0,2261094;0;0;0;( 0.335f, -0.043f );( 0.379f, 1.067f, -0.063f );0,144;0,111;0;0;0;0,001843145;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,574666;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T134559;1;1;03_Sc_CWIP_Passthrough;Event;2,035849;True;0;0;0;0;0,1265994;0,05955594;0
9;0,840071;CWIP;Direct;0;1,485213;0;0;0,2261094;0,5570313;0,2261094;0;0;0;( 0.335f, -0.043f );( 0.379f, 1.067f, -0.063f );0,144;0,111;0;0;0;0,00134463;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0,09929819;1,574666;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T134559;1;1;03_Sc_CWIP_Passthrough;Event;1,485213;True;0;0;0;0;0,1313105;0,07348417;0
11;0,956111;CWIP;Direct;1,884195;2,214178;0;0;0,2261094;0,5570313;0,2261094;0;0;0;( 0.286f, -0.219f );( 0.344f, 1.079f, -0.218f );0,151;0,124;0;0;0;0,0007159956;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0,1199198;1,530083;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T134559;1;1;03_Sc_CWIP_Passthrough;Event;2,214178;True;0;0;0;0;0,1399268;0,09454373;0
12;1,058021;CWIP;Direct;1,748764;2,088421;0;0;0,2261094;0,5570313;0,2261094;0;0;0;( 0.275f, -0.272f );( 0.333f, 1.083f, -0.269f );0,16;0,132;0;0;0;0,000522531;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0,06281795;1,512758;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T134559;1;1;03_Sc_CWIP_Passthrough;Event;2,088421;True;0;0;0;0;0,1453515;0,1046661;0
13;1,118759;CWIP;Direct;6,726953;3,341666;0;0;0,2261094;0,5570313;0,2261094;0;0;0;( 0.258f, -0.347f );( 0.309f, 1.092f, -0.345f );0,185;0,138;0;0;0;0,0003813528;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0,05412904;1,493741;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T134559;1;1;03_Sc_CWIP_Passthrough;Event;3,341666;True;0;0;0;0;0,1560647;0,113673;0
