Registo;Tempo Absoluto (Segundos);Metodo de Deslocamento Em Uso;Estado Actual;Vel. Real (Directa, Normal);Vel. Real (Directa, Kalman);Vel. Virtual in Use (WIP);Vel. Virtual (WIP, Normal);Vel. Virtual (WIP, Kalman);Vel. Virtual (WIP, Event, Normal);Vel. Virtual (WIP, Event, Kalman);Vel. Virtual * Aumento (WIP);Vel. Virtual * Aumento (WIP) * Delta;Delta;Joint Vel. Real (Vector 2);Joint Camera (Vector 3);Joelho Direito (y);Joelho Esquerdo (y);Desvio Joelho Direito;Desvio Joelho Esquerdo;Desvio Joelho Geral;Desvio Joelho Kalman;Direito FootStates (WIP);Esquerdo FootStates (WIP);Direito FootTransitionEvents (WIP);Esquerdo FootTransitionEvents (WIP);N. Passos Total (WIP);N. Passos Direito (WIP);N. Passos Esquerdo (WIP);Distancia Direct;Distancia Wip;Distancia Estacionario;Distancia do anterior;Altura;Threshold de Velocidade Directa;Threshold de Velocidade WIP;Threshold Diff Knee;Threshold do Passo (WIP);Velocidade Inicial WIP;Velocidade Maxima WIP;Tempo;Id;Nivel;Vel. Real (Directa, Kalman, Base);Begin Stop Active;Vel. Virtual in Use (Estado, WIP)
0;0,00872;CWIP;Estacionario;0;0;0;0;0;0;0;0;0;0;( 0.787f, -0.673f );( 0.815f, 1.509f, -0.650f );0,445;0,451;0;0,006000012;0,006000012;0,02181287;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;1,65;0;0;0;1,569603;0,8;0;0,05;0,035;0,45;4;20170201T122600;4;03_Sc_CWIP_Passthrough;0;True;0
1;0,291123;CWIP;Estacionario;0,2671004;0,06055173;0;0;0;0;0;0;0;0;( 0.797f, -0.683f );( 0.831f, 1.511f, -0.683f );0,448;0,452;0;0,003999978;0,003999978;0,01129626;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,575891;0,8;0;0,05;0,035;0,45;4;20170201T122600;4;03_Sc_CWIP_Passthrough;0,06055173;True;0
2;0,600598;CWIP;Estacionario;0,009694039;0,03330415;0;0;0;0;0;0;0;0;( 0.798f, -0.684f );( 0.829f, 1.513f, -0.698f );0,446;0,451;0;0,004999995;0,004999995;0,006868311;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,01414098;0;0;0,01414098;1,581655;0,8;0;0,05;0,035;0,45;4;20170201T122600;4;03_Sc_CWIP_Passthrough;0,03330415;True;0
3;0,868871;CWIP;Estacionario;0,09519221;0,03658177;0;0;0;0;0;0;0;0;( 0.789f, -0.682f );( 0.802f, 1.514f, -0.716f );0,445;0,448;0;0,003000021;0,003000021;0,00422693;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,001416515;0;0;0,001416515;1,577221;0,8;0;0,05;0,035;0,45;4;20170201T122601;4;03_Sc_CWIP_Passthrough;0,03658177;True;0
4;1,109222;CWIP;Estacionario;0,3261135;0,08395255;0;0;0;0;0;0;0;0;( 0.772f, -0.669f );( 0.778f, 1.511f, -0.706f );0,449;0,448;0,0009999871;0;0,0009999871;0,01688884;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,009222173;0;0;0,009222173;1,569961;0,8;0;0,05;0,035;0,45;4;20170201T122601;4;03_Sc_CWIP_Passthrough;0,08395255;True;0
5;1,349771;CWIP;Estacionario;0,1529962;0,07488438;0;0;0;0;0;0;0;0;( 0.781f, -0.677f );( 0.790f, 1.512f, -0.714f );0,448;0,448;0;0;0;0,00899029;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,02139955;0;0;0,02139955;1,573084;0,8;0;0,05;0,035;0,45;4;20170201T122601;4;03_Sc_CWIP_Passthrough;0,07488438;True;0
8;2,09002;CWIP;Estacionario;0,2883586;0,1356332;0;0;0;0;0;0;0;0;( 0.764f, -0.646f );( 0.760f, 1.511f, -0.685f );0,442;0,451;0;0,009000003;0,009000003;0,03755004;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,02469846;0;0;0,02469846;1,587184;0,8;0;0,05;0,035;0,45;4;20170201T122602;4;03_Sc_CWIP_Passthrough;0,1356332;True;0
9;2,341793;CWIP;Estacionario;0,09124637;0,09023903;0;0;0;0;0;0;0;0;( 0.769f, -0.652f );( 0.770f, 1.513f, -0.685f );0,446;0,449;0;0,002999991;0,002999991;0,02059329;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,0243514;0;0;0,0243514;1,568464;0,8;0;0,05;0,035;0,45;4;20170201T122602;4;03_Sc_CWIP_Passthrough;0,09023903;True;0
10;2,604959;CWIP;Estacionario;0,08088393;0,0640158;0;0;0;0;0;0;0;0;( 0.774f, -0.658f );( 0.782f, 1.514f, -0.687f );0,449;0,448;0,0009999871;0;0,0009999871;0,02880785;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,007808478;0;0;0,007808478;1,574672;0,8;0;0,05;0,035;0,45;4;20170201T122602;4;03_Sc_CWIP_Passthrough;0,0640158;True;0
11;2,844487;CWIP;Estacionario;0,08551423;0,05096041;0;0;0;0;0;0;0;0;( 0.777f, -0.663f );( 0.790f, 1.515f, -0.690f );0,452;0,449;0,002999991;0;0,002999991;0,01593664;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,00781092;0;0;0,00781092;1,575402;0,8;0;0,05;0,035;0,45;4;20170201T122603;4;03_Sc_CWIP_Passthrough;0,05096041;True;0
12;3,084255;CWIP;Estacionario;0,02257944;0,03159721;0;0;0;0;0;0;0;0;( 0.776f, -0.662f );( 0.789f, 1.515f, -0.691f );0,451;0,45;0,001000017;0;0,001000017;0,008686177;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,005832063;0;0;0,005832063;1,572587;0,8;0;0,05;0,035;0,45;4;20170201T122603;4;03_Sc_CWIP_Passthrough;0,03159721;True;0
