Registo;Tempo Absoluto (Segundos);Metodo de Deslocamento Em Uso;Estado Actual;Vel. Real (Directa, Normal);Vel. Real (Directa, Kalman);Vel. Virtual in Use (WIP);Vel. Virtual (WIP, Normal);Vel. Virtual (WIP, Kalman);Vel. Virtual (WIP, Event, Normal);Vel. Virtual (WIP, Event, Kalman);Vel. Virtual * Aumento (WIP);Vel. Virtual * Aumento (WIP) * Delta;Delta;Joint Vel. Real (Vector 2);Joint Camera (Vector 3);Joelho Direito (y);Joelho Esquerdo (y);Desvio Joelho Direito;Desvio Joelho Esquerdo;Desvio Joelho Geral;Desvio Joelho Kalman;Direito FootStates (WIP);Esquerdo FootStates (WIP);Direito FootTransitionEvents (WIP);Esquerdo FootTransitionEvents (WIP);N. Passos Total (WIP);N. Passos Direito (WIP);N. Passos Esquerdo (WIP);Distancia Direct;Distancia Wip;Distancia Estacionario;Distancia do anterior;Altura;Threshold de Velocidade Directa;Threshold de Velocidade WIP;Threshold Diff Knee;Threshold do Passo (WIP);Velocidade Inicial WIP;Velocidade Maxima WIP;Tempo;Id;Nivel;Vel. Real (Directa, Kalman, Base);Begin Stop Active;Vel. Virtual in Use (Estado, WIP)
0;0,011081;CWIP;Estacionario;0;0;0;0;0;0;0;0;0;0;( 0.320f, -0.609f );( 0.328f, 1.481f, -0.604f );0,499;0,526;0;0,02700001;0,02700001;0,03236464;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;1,65;0;0;0;1,475079;0,8;0;0,05;0,035;0,45;4;20170201T124828;6;03_Sc_CWIP_Passthrough;0;True;0
1;0,214181;CWIP;Estacionario;0,03419595;0,00775223;0;0;0;0;0;0;0;0;( 0.315f, -0.609f );( 0.316f, 1.481f, -0.605f );0,497;0,532;0;0,035;0,035;0,02334977;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,458974;0,8;0;0,05;0,035;0,45;4;20170201T124828;6;03_Sc_CWIP_Passthrough;0,00775223;True;0
2;0,292639;CWIP;Estacionario;0,07650105;0,01971513;0,45;0,45;0,145114;0,45;0,145114;0,45;0;0;( 0.310f, -0.608f );( 0.313f, 1.482f, -0.602f );0,497;0,533;0;0,03599998;0,03599998;0,01946619;ON_THE_FLOOR;RAISED_UP;RESTING_DOWN;ELEVATING;0;0;0;0,005001068;0;0;0,005001068;1,460412;0,8;0;0,05;0,035;0,45;4;20170201T124828;6;03_Sc_CWIP_Passthrough;0,01971513;True;0
3;0,342422;CWIP;Estacionario;0,2433739;0,05895912;0,3287736;0,2075473;0,1636567;0,3287736;0,199661;0,3287736;0;0;( 0.320f, -0.608f );( 0.329f, 1.481f, -0.601f );0,499;0,524;0;0,02499998;0,02499998;0,01527054;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,005096335;0;0;0,005096335;1,491364;0,8;0;0,05;0,035;0,45;4;20170201T124828;6;03_Sc_CWIP_Passthrough;0,05895912;True;0
4;0,404973;CWIP;Estacionario;0;0,03133293;0,3287736;0,01538442;0,1215206;0,3287736;0,2363523;0,3287736;0;0;( 0.320f, -0.608f );( 0.329f, 1.481f, -0.602f );0,499;0,525;0;0,02599996;0,02599996;0,01325861;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;1;0;1;0,009998322;0;0;0,009998322;1,482782;0,8;0;0,05;0,035;0,45;4;20170201T124828;6;03_Sc_CWIP_Passthrough;0,03133293;True;0
5;0,471536;CWIP;Estacionario;0,03372953;0,02333589;0,3287736;0,01538442;0,09206242;0,3287736;0,2620039;0,3287736;0;0;( 0.320f, -0.609f );( 0.328f, 1.481f, -0.604f );0,499;0,526;0;0,02700001;0,02700001;0,01238644;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;1;0;1;0;0;0;0;1,475079;0,8;0;0,05;0,035;0,45;4;20170201T124828;6;03_Sc_CWIP_Passthrough;0,02333589;True;0
6;0,534872;CWIP;Estacionario;0,0546169;0,02319982;0,3287736;0,01538442;0,07104697;0,3287736;0,2803037;0,3287736;0;0;( 0.319f, -0.610f );( 0.321f, 1.480f, -0.606f );0,499;0,531;0;0,03200001;0,03200001;0,01290784;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;1;0;1;0,001000047;0;0;0,001000047;1,456325;0,8;0;0,05;0,035;0,45;4;20170201T124828;6;03_Sc_CWIP_Passthrough;0,02319982;True;0
7;0,706304;CWIP;Estacionario;0,06605034;0,02538148;0,3287736;0,01538442;0,05589356;0,3287736;0,2934991;0,3287736;0;0;( 0.317f, -0.610f );( 0.319f, 1.481f, -0.605f );0,498;0,532;0;0,03400001;0,03400001;0,01357963;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;1;0;1;0,001413816;0;0;0,001413816;1,458163;0,8;0;0,05;0,035;0,45;4;20170201T124829;6;03_Sc_CWIP_Passthrough;0,02538148;True;0
8;0,839854;CWIP;Estacionario;0,130497;0,03925068;0,3287736;0,01538442;0,04490493;0,3287736;0,3030677;0,3287736;0;0;( 0.315f, -0.609f );( 0.316f, 1.481f, -0.605f );0,497;0,532;0;0,035;0,035;0,01413454;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;1;0;1;0,001998901;0;0;0,001998901;1,458974;0,8;0;0,05;0,035;0,45;4;20170201T124829;6;03_Sc_CWIP_Passthrough;0,03925068;True;0
10;1,109204;CWIP;Estacionario;0,1111512;0,05109549;0,2085836;0,03225781;0,03565346;0,2085836;0,2699382;0,2085836;0;0;( 0.312f, -0.605f );( 0.320f, 1.483f, -0.592f );0,501;0,531;0;0,03000003;0,03000003;0,0137067;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;1;0;1;0,005103817;0;0;0,005103817;1,488375;0,8;0;0,05;0,035;0,45;4;20170201T124829;6;03_Sc_CWIP_Passthrough;0,05109549;True;0
12;1,238397;CWIP;Estacionario;0,03702395;0,02592268;0,2085836;0,03030264;0,03315188;0,2085836;0,241254;0,2085836;0;0;( 0.312f, -0.605f );( 0.320f, 1.483f, -0.592f );0,501;0,531;0;0,03000003;0,03000003;0,01316519;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;2;0;2;0,0009994507;0;0;0,0009994507;1,488375;0,8;0;0,05;0,035;0,45;4;20170201T124829;6;03_Sc_CWIP_Passthrough;0,02592268;True;0
13;1,325757;CWIP;Estacionario;0,1016437;0,03384955;0,2085836;0,03030264;0,032382;0,2085836;0,2324263;0,2085836;0;0;( 0.315f, -0.608f );( 0.327f, 1.469f, -0.605f );0,497;0,528;0;0,03099999;0,03099999;0,01312505;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;2;0;2;0,0009994507;0;0;0,0009994507;1,457592;0,8;0;0,05;0,035;0,45;4;20170201T124829;6;03_Sc_CWIP_Passthrough;0,03384955;True;0
14;1,392945;CWIP;Estacionario;0;0,01803071;0,2085836;0,03030264;0,0318202;0,2085836;0,2259845;0,2085836;0;0;( 0.315f, -0.608f );( 0.329f, 1.455f, -0.613f );0,497;0,525;0;0,02799997;0,02799997;0,01251215;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;2;0;2;0,004241448;0;0;0,004241448;1,440164;0,8;0;0,05;0,035;0,45;4;20170201T124829;6;03_Sc_CWIP_Passthrough;0,01803071;True;0
15;1,460054;CWIP;Estacionario;0,0369744;0,01689476;0,2085836;0,03030264;0,0314102;0,2085836;0,2212833;0,2085836;0;0;( 0.315f, -0.609f );( 0.329f, 1.439f, -0.623f );0,496;0,522;0;0,02600002;0,02600002;0,01179134;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;2;0;2;0;0;0;0;1,424288;0,8;0;0,05;0,035;0,45;4;20170201T124829;6;03_Sc_CWIP_Passthrough;0,01689476;True;0
16;1,543657;CWIP;Estacionario;0,07519131;0,02382497;0,2085836;0,03030264;0,03111098;0,2085836;0,2178523;0,2085836;0;0;( 0.314f, -0.611f );( 0.330f, 1.421f, -0.634f );0,495;0,515;0;0,01999998;0,01999998;0,01022435;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;2;0;2;0,001000047;0;0;0,001000047;1,406;0,8;0;0,05;0,035;0,45;4;20170201T124829;6;03_Sc_CWIP_Passthrough;0,02382497;True;0
17;1,594101;CWIP;Estacionario;0,1702939;0,04626806;0,2085836;0,03030264;0,0308926;0,2085836;0,2153483;0,2085836;0;0;( 0.312f, -0.613f );( 0.330f, 1.405f, -0.645f );0,494;0,507;0;0,01300004;0,01300004;0,008009467;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;2;0;2;0,002235799;0;0;0,002235799;1,390359;0,8;0;0,05;0,035;0,45;4;20170201T124829;6;03_Sc_CWIP_Passthrough;0,04626806;True;0
18;1,67784;CWIP;Estacionario;0,1332284;0,05091459;0,2085836;0,03030264;0,03073321;0,2085836;0,2135207;0,2085836;0;0;( 0.311f, -0.615f );( 0.330f, 1.391f, -0.655f );0,492;0,499;0;0,006999999;0,006999999;0,005646621;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;2;0;2;0,002827632;0;0;0,002827632;1,376702;0,8;0;0,05;0,035;0,45;4;20170201T124830;6;03_Sc_CWIP_Passthrough;0,05091459;True;0
19;1,741318;CWIP;Estacionario;0,05325333;0,03762083;0,2085836;0,03030264;0,03061689;0,2085836;0,2121869;0,2085836;0;0;( 0.310f, -0.616f );( 0.330f, 1.384f, -0.660f );0,49;0,495;0;0,004999995;0,004999995;0,003993655;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;2;0;2;0,002235853;0;0;0,002235853;1,370937;0,8;0;0,05;0,035;0,45;4;20170201T124830;6;03_Sc_CWIP_Passthrough;0,03762083;True;0
20;1,825041;CWIP;Estacionario;0,05443272;0,03077216;0,2085836;0,03030264;0,03053199;0,2085836;0,2112135;0,2085836;0;0;( 0.309f, -0.617f );( 0.330f, 1.376f, -0.667f );0,486;0,489;0;0,002999991;0,002999991;0,002718822;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;2;0;2;0,001413816;0;0;0,001413816;1,362726;0,8;0;0,05;0,035;0,45;4;20170201T124830;6;03_Sc_CWIP_Passthrough;0,03077216;True;0
21;1,878662;CWIP;Estacionario;0,04795671;0,02584718;0,2085836;0,03030264;0,03047003;0,2085836;0,210503;0,2085836;0;0;( 0.308f, -0.618f );( 0.330f, 1.371f, -0.673f );0,482;0,484;0;0,002000004;0,002000004;0,001842585;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;2;0;2;0,001413816;0;0;0,001413816;1,356815;0,8;0;0,05;0,035;0,45;4;20170201T124830;6;03_Sc_CWIP_Passthrough;0,02584718;True;0
