Registo;Tempo Absoluto (Segundos);Metodo de Deslocamento Em Uso;Estado Actual;Vel. Real (Directa, Normal);Vel. Real (Directa, Kalman);Vel. Virtual in Use (WIP);Vel. Virtual (WIP, Normal);Vel. Virtual (WIP, Kalman);Vel. Virtual (WIP, Event, Normal);Vel. Virtual (WIP, Event, Kalman);Vel. Virtual * Aumento (WIP);Vel. Virtual * Aumento (WIP) * Delta;Delta;Joint Vel. Real (Vector 2);Joint Camera (Vector 3);Joelho Direito (y);Joelho Esquerdo (y);Desvio Joelho Direito;Desvio Joelho Esquerdo;Desvio Joelho Geral;Desvio Joelho Kalman;Direito FootStates (WIP);Esquerdo FootStates (WIP);Direito FootTransitionEvents (WIP);Esquerdo FootTransitionEvents (WIP);N. Passos Total (WIP);N. Passos Direito (WIP);N. Passos Esquerdo (WIP);Distancia Direct;Distancia Wip;Distancia Estacionario;Distancia do anterior;Altura;Threshold de Velocidade Directa;Threshold de Velocidade WIP;Threshold Diff Knee;Threshold do Passo (WIP);Velocidade Inicial WIP;Velocidade Maxima WIP;Nome Joint Vel. Real;Nome Joint Camera;Tempo;Aumento (WIP);Id;Nivel;WIP Mode;Vel. Real (Directa, Kalman, Base);Begin Stop Active;Direito FootStates (WIP, Int);Esquerdo FootStates (WIP, Int);Direito FootTransitionEvents (WIP, Int);Esquerdo FootTransitionEvents (WIP, Int);Joelho Direito (y, Kalman);Joelho Esquerdo (y, Kalman);Vel. Virtual in Use (Estado, WIP)
2770;228,269076;CWIP;WIP;0,1315655;0,02576226;0,2912515;0,1873016;0,1873016;0,2912515;0,2912515;0,2912515;0,02154912;0,073988;( -0.087f, -0.035f );( -0.025f, 1.179f, 0.044f );0,025;0,202;0;0,177;0,177;0,06392607;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;1;0;1;0,004471385;0;0,03383424;0,03383424;1,748789;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141958;1;11;03_Sc_CWIP_Passthrough;Event;0,04220972;False;0;1;0;3;0,0264708;0,1616691;0,2912515
2771;228,339842;CWIP;WIP;0,1026646;0,02478943;0,2912515;0,1873016;0,1873016;0,2912515;0,2912515;0,2912515;0,01874553;0,064362;( -0.086f, -0.032f );( -0.025f, 1.178f, 0.044f );0,027;0,217;0;0,19;0,19;0,07151427;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;1;0;1;0,004471385;0;0,02732215;0,02732215;1,745908;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141958;1;11;03_Sc_CWIP_Passthrough;Event;0,0427265;False;0;1;0;3;0,02661376;0,1766171;0,2912515
2772;228,406383;CWIP;WIP;0,07345589;0,02020797;0,2912515;0,1873016;0,1873016;0,2912515;0,2912515;0,2912515;0,01869514;0,064189;( -0.085f, -0.030f );( -0.025f, 1.177f, 0.045f );0,029;0,224;0;0,195;0,195;0,07654215;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;1;0;1;0,004471385;0;0,02813604;0,02813604;1,741783;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141958;1;11;03_Sc_CWIP_Passthrough;Event;0,03724264;False;0;1;0;3;0,02725842;0,1894179;0,2912515
2773;228,473376;CWIP;WIP;0,09969423;0,02220266;0,2912515;0,1873016;0,1873016;0,2912515;0,2912515;0,2912515;0,01886494;0,064772;( -0.085f, -0.027f );( -0.026f, 1.176f, 0.045f );0,032;0,233;0;0,201;0,201;0,08040339;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;1;0;1;0,004471385;0;0,02820648;0,02820648;1,737348;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141958;1;11;03_Sc_CWIP_Passthrough;Event;0,03949501;False;0;1;0;3;0,02853939;0,2011919;0,2912515
2774;228,540808;CWIP;WIP;0,07138062;0,01890367;0,2912515;0,1873016;0,1873016;0,2912515;0,2912515;0,2912515;0,01848457;0,063466;( -0.084f, -0.025f );( -0.027f, 1.176f, 0.046f );0,034;0,243;0;0,209;0,209;0,08403754;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;1;0;1;0,004471385;0;0,02774634;0,02774634;1,734734;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141958;1;11;03_Sc_CWIP_Passthrough;Event;0,03511213;False;0;1;0;3;0,03001461;0,2124866;0,2912515
2775;228,573755;CWIP;WIP;0,0688492;0,01725685;0,2912515;0,1873016;0,1873016;0,2912515;0,2912515;0,2912515;0,009544603;0,032771;( -0.084f, -0.023f );( -0.028f, 1.175f, 0.046f );0,035;0,248;0;0,213;0,213;0,08676204;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;1;0;1;0,004471385;0;0,009544334;0,009544334;1,731477;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141958;1;11;03_Sc_CWIP_Passthrough;Event;0,03227837;False;0;1;0;3;0,03136144;0,2220808;0,2912515
2777;228,835702;CWIP;WIP;0,07032039;0,01592723;0,2912515;0,1873016;0,1873016;0,2912515;0,2912515;0,2912515;0,02998143;0,10294;( -0.088f, -0.018f );( -0.032f, 1.173f, 0.045f );0,038;0,237;0;0,199;0,199;0,08538572;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;1;0;1;0,004471385;0;0,06317779;0,06317779;1,724184;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141958;1;11;03_Sc_CWIP_Passthrough;Event;0,02903054;False;0;1;0;3;0,03406948;0,2298416;0,2912515
2778;228,875136;CWIP;WIP;0;0,006191986;0,2912515;0,1873016;0,1873016;0,2912515;0,2912515;0,2912515;0,01827487;0,062746;( -0.088f, -0.018f );( -0.032f, 1.173f, 0.045f );0,038;0,237;0;0,199;0,199;0,08471978;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;1;0;1;0,004471385;0;0,01827509;0,01827509;1,724184;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141958;1;11;03_Sc_CWIP_Passthrough;Event;0,01546375;False;0;1;0;3;0,03513134;0,2317755;0,2912515
2779;228,938877;CWIP;WIP;0,1511513;0,02415862;0,2912515;0,1873016;0,1873016;0,2912515;0,2912515;0,2912515;0,01950802;0,06698;( -0.092f, -0.017f );( -0.033f, 1.171f, 0.043f );0,037;0,242;0;0,205;0,205;0,08554807;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;1;0;1;0,004471385;0;0,02978669;0,02978669;1,722942;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141958;1;11;03_Sc_CWIP_Passthrough;Event;0,03803989;False;0;1;0;3;0,03563617;0,2345377;0,2912515
2780;229,009491;CWIP;WIP;0,07305014;0,01990433;0,2912515;0,1873016;0,1873016;0,2912515;0,2912515;0,2912515;0,01874815;0,064371;( -0.094f, -0.016f );( -0.033f, 1.170f, 0.041f );0,038;0,247;0;0,209;0,209;0,08677797;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;1;0;1;0,004471385;0;0,0271706;0,0271706;1,718945;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T141958;1;11;03_Sc_CWIP_Passthrough;Event;0,03466621;False;0;1;0;3;0,03627477;0,2379045;0,2912515
