Registo;Tempo Absoluto (Segundos);Metodo de Deslocamento Em Uso;Estado Actual;Vel. Real (Directa, Normal);Vel. Real (Directa, Kalman);Vel. Virtual in Use (WIP);Vel. Virtual (WIP, Normal);Vel. Virtual (WIP, Kalman);Vel. Virtual (WIP, Event, Normal);Vel. Virtual (WIP, Event, Kalman);Vel. Virtual * Aumento (WIP);Vel. Virtual * Aumento (WIP) * Delta;Delta;Joint Vel. Real (Vector 2);Joint Camera (Vector 3);Joelho Direito (y);Joelho Esquerdo (y);Desvio Joelho Direito;Desvio Joelho Esquerdo;Desvio Joelho Geral;Desvio Joelho Kalman;Direito FootStates (WIP);Esquerdo FootStates (WIP);Direito FootTransitionEvents (WIP);Esquerdo FootTransitionEvents (WIP);N. Passos Total (WIP);N. Passos Direito (WIP);N. Passos Esquerdo (WIP);Distancia Direct;Distancia Wip;Distancia Estacionario;Distancia do anterior;Altura;Threshold de Velocidade Directa;Threshold de Velocidade WIP;Threshold Diff Knee;Threshold do Passo (WIP);Velocidade Inicial WIP;Velocidade Maxima WIP;Nome Joint Vel. Real;Nome Joint Camera;Tempo;Aumento (WIP);Id;Nivel;WIP Mode;Vel. Real (Directa, Kalman, Base);Begin Stop Active;Direito FootStates (WIP, Int);Esquerdo FootStates (WIP, Int);Direito FootTransitionEvents (WIP, Int);Esquerdo FootTransitionEvents (WIP, Int);Joelho Direito (y, Kalman);Joelho Esquerdo (y, Kalman);Vel. Virtual in Use (Estado, WIP)
0;0,000812;CWIP;Estacionario;0;0,1082162;0,45;0,45;0,237688;0,45;0,3443667;0,45;0;0;( 1.320f, -0.811f );( 1.351f, 1.568f, -0.791f );0,598;0,731;0;0,133;0,133;0,04647044;ON_THE_FLOOR;RAISED_UP;RESTING_DOWN;ELEVATING;0;0;0;0,01640253;0;0;0,01640253;1,598194;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164540;1;58;03_Sc_CWIP_Passthrough;Event;0,1082162;True;0;2;0;2;0,2059079;0,3082415;0
1;0,0502;CWIP;Estacionario;0,1040088;0,07815137;0,45;0,45;0,2950454;0,45;0,3729042;0,45;0;0;( 1.318f, -0.808f );( 1.349f, 1.570f, -0.791f );0,597;0,743;0;0,146;0,146;0,05354058;ON_THE_FLOOR;RAISED_UP;RESTING_DOWN;ELEVATING;0;0;0;2,005347;0;0;2,005347;1,598937;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164540;1;58;03_Sc_CWIP_Passthrough;Event;0,07815137;True;0;2;0;2;0,3115639;0,4256943;0
2;0,241923;CWIP;Estacionario;0,07321402;0,05606478;0,3228261;0,1956521;0,2681937;0,3228261;0,3593753;0,3228261;0;0;( 1.316f, -0.804f );( 1.348f, 1.571f, -0.787f );0,598;0,742;0;0,144;0,144;0,05691231;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,00360491;0;0;0,00360491;1,595001;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164540;1;58;03_Sc_CWIP_Passthrough;Event;0,05606478;True;0;1;0;3;0,3889464;0,5111462;0
3;0,306686;CWIP;Estacionario;0;0,02986414;0,3228261;0,1956521;0,2485961;0,3228261;0,3495013;0,3228261;0;0;( 1.316f, -0.804f );( 1.348f, 1.571f, -0.787f );0,598;0,742;0;0,144;0,144;0,05870833;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,004471652;0;0;0,004471652;1,595001;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164540;1;58;03_Sc_CWIP_Passthrough;Event;0,02986414;True;0;1;0;3;0,4454235;0,5735128;0
5;0,507231;CWIP;Estacionario;0,03910549;0,02212875;0,3228261;0,1956521;0,2238539;0,3228261;0,3370352;0,3228261;0;0;( 1.317f, -0.800f );( 1.348f, 1.570f, -0.774f );0,638;0,742;0;0,104;0,104;0,04913691;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,002827674;0;0;0,002827674;1,554581;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164541;1;58;03_Sc_CWIP_Passthrough;Event;0,02212875;True;0;1;0;3;0,5336454;0,6524488;0
6;0,592156;CWIP;Estacionario;0,09109481;0,0297487;0,3228261;0,1956521;0,216235;0,3228261;0,3331965;0,3228261;0;0;( 1.315f, -0.794f );( 1.348f, 1.568f, -0.766f );0,648;0,743;0;0,09499997;0,09499997;0,04490517;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,002237507;0;0;0,002237507;1,545274;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164541;1;58;03_Sc_CWIP_Passthrough;Event;0,0297487;True;0;1;0;3;0,564539;0,6769117;0
7;0,67435;CWIP;Estacionario;0,09333586;0,0342495;0,3228261;0,1956521;0,2106744;0,3228261;0,3303949;0,3228261;0;0;( 1.313f, -0.788f );( 1.349f, 1.564f, -0.758f );0,656;0,747;0;0,09099996;0,09099996;0,04186235;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,006322986;0;0;0,006322986;1,536836;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164541;1;58;03_Sc_CWIP_Passthrough;Event;0,0342495;True;0;1;0;3;0,5892478;0,6958465;0
8;0,737389;CWIP;Estacionario;0,2311521;0,06382043;0,3228261;0,1956521;0,2066161;0,3228261;0,3283501;0,3228261;0;0;( 1.309f, -0.778f );( 1.348f, 1.559f, -0.748f );0,661;0,751;0;0,08999997;0,08999997;0,04004436;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,006325454;0;0;0,006325454;1,533092;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164541;1;58;03_Sc_CWIP_Passthrough;Event;0,06382043;True;0;1;0;3;0,6086321;0,7107466;0
9;0,808073;CWIP;Estacionario;0,1812207;0,06972696;0,3228261;0,1956521;0,2036541;0,3228261;0,3268577;0,3228261;0;0;( 1.306f, -0.768f );( 1.347f, 1.555f, -0.739f );0,664;0,755;0;0,09100002;0,09100002;0,03927315;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,01076951;0;0;0,01076951;1,533875;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164541;1;58;03_Sc_CWIP_Passthrough;Event;0,06972696;True;0;1;0;3;0,6235901;0,7227019;0
10;1,094236;CWIP;Estacionario;0,666902;0,1686359;0,3228261;0,1956521;0,2014923;0,3228261;0,3257686;0,3228261;0;0;( 1.315f, -0.737f );( 1.350f, 1.549f, -0.709f );0,665;0,774;0;0,109;0,109;0,04241143;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,01044092;0;0;0,01044092;1,531772;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164541;1;58;03_Sc_CWIP_Passthrough;Event;0,1686359;True;0;1;0;3;0,6347772;0,7365604;0
11;1,357632;CWIP;Estacionario;0,8603758;0,2594695;0,3228261;0;0,1470579;0,3228261;0,3249736;0,3228261;0;0;( 1.347f, -0.724f );( 1.371f, 1.546f, -0.702f );0,658;0,786;0;0,128;0,128;0,04782938;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;MAX_REACHED;0;0;0;0,03227973;0;0;0,03227973;1,517936;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164542;1;58;03_Sc_CWIP_Passthrough;Event;0,2594695;True;0;0;0;3;0,641051;0,7499168;0
12;1,407772;CWIP;Estacionario;0,3597244;0,2091396;0,45;0,45;0,2288996;0,45;0,3587503;0,45;0;0;( 1.360f, -0.726f );( 1.382f, 1.542f, -0.709f );0,656;0,797;0;0,141;0,141;0,05327859;ON_THE_FLOOR;RAISED_UP;RESTING_DOWN;ELEVATING;0;0;0;0,03454122;0;0;0,03454122;1,511888;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164542;1;58;03_Sc_CWIP_Passthrough;Event;0,2091396;True;0;2;0;2;0,6450896;0,7626366;0
13;1,524124;CWIP;Estacionario;0,3854345;0,1873997;0,2551723;0,06034457;0,1833634;0,2551723;0,330768;0,2551723;0;0;( 1.373f, -0.728f );( 1.390f, 1.539f, -0.714f );0,652;0,786;0;0,134;0,134;0,05480104;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,01315367;0;0;0,01315367;1,512544;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164542;1;58;03_Sc_CWIP_Passthrough;Event;0,1873997;True;0;1;0;3;0,6469564;0,7689484;0
14;1,577063;CWIP;Estacionario;0,5036544;0,199129;0,2551723;0,06034457;0,1501291;0,2551723;0,3103454;0,2551723;0;0;( 1.391f, -0.733f );( 1.402f, 1.532f, -0.725f );0,632;0,763;0;0,131;0,131;0,05502048;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,01315319;0;0;0,01315319;1,526515;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164542;1;58;03_Sc_CWIP_Passthrough;Event;0,199129;True;0;1;0;3;0,6429159;0,7673414;0
15;1,708775;CWIP;Estacionario;1,01667;0,3065291;0,2551723;0,06034457;0,1258733;0,2551723;0,29544;0,2551723;0;0;( 1.414f, -0.739f );( 1.431f, 1.515f, -0.749f );0,573;0,708;0;0,135;0,135;0,05592606;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,01867937;0;0;0,01867937;1,567329;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164542;1;58;03_Sc_CWIP_Passthrough;Event;0,3065291;True;0;1;0;3;0,6240277;0,7513099;0
16;1,85871;CWIP;Estacionario;0,1030966;0,1836072;0,2551723;0,06034457;0,1081703;0,2551723;0,2845615;0,2551723;0;0;( 1.413f, -0.738f );( 1.459f, 1.488f, -0.756f );0,546;0,652;0;0,106;0,106;0,05069046;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,02377228;0;0;0,02377228;1,553377;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164542;1;58;03_Sc_CWIP_Passthrough;Event;0,1836072;True;0;1;0;3;0,602948;0,7244807;0
17;1,92611;CWIP;Estacionario;0,1252165;0,1224916;0,2551723;0,06034457;0,09524986;0,2551723;0,2766218;0,2551723;0;0;( 1.415f, -0.736f );( 1.457f, 1.478f, -0.752f );0,537;0,63;0;0,09299999;0,09299999;0,04533837;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,001413858;0;0;0,001413858;1,532587;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164542;1;58;03_Sc_CWIP_Passthrough;Event;0,1224916;True;0;1;0;3;0,5851318;0,6989562;0
18;2,240812;CWIP;Estacionario;1,150609;0,2921155;0,2551723;0,06034457;0,08581997;0,2551723;0,2708271;0,2551723;0;0;( 1.429f, -0.725f );( 1.497f, 1.430f, -0.698f );0,534;0,57;0;0,03600001;0,03600001;0,03124866;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,002827548;0;0;0,002827548;1,492178;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164542;1;58;03_Sc_CWIP_Passthrough;Event;0,2921155;True;0;1;0;3;0,5713182;0,6641179;0
19;2,377907;CWIP;Estacionario;0,2495382;0,2048037;0,2551723;0,06034457;0,07893763;0,2551723;0,2665978;0,2551723;0;0;( 1.433f, -0.729f );( 1.497f, 1.420f, -0.690f );0,531;0,578;0;0,04699999;0,04699999;0,02591236;ON_THE_FLOOR;RAISED_DOWN;RESTING_DOWN;MAX_REACHED;0;0;0;0,01780453;0;0;0,01780453;1,48605;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164543;1;58;03_Sc_CWIP_Passthrough;Event;0,2048037;True;0;1;0;3;0,560426;0,6408526;0
20;2,612875;CWIP;Estacionario;1,279473;0,3613692;0,2551723;0;0,05761214;0,2551723;0,2635112;0,2551723;0;0;( 1.455f, -0.746f );( 1.507f, 1.375f, -0.659f );0,518;0,598;0;0,07999998;0,07999998;0,02957653;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;MAX_REACHED;0;0;0;0,005655264;0;0;0,005655264;1,484736;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164543;1;58;03_Sc_CWIP_Passthrough;Event;0,3613692;True;0;0;0;3;0,5489643;0,6292757;0
21;2,730458;CWIP;Estacionario;0,1402937;0,2201532;0,45;0,45;0,1636182;0,45;0,3138923;0,45;0;0;( 1.460f, -0.748f );( 1.509f, 1.366f, -0.653f );0,517;0,603;0;0,08599997;0,08599997;0,03271136;ON_THE_FLOOR;RAISED_UP;RESTING_DOWN;ELEVATING;0;0;0;0,0278054;0;0;0,0278054;1,484337;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164543;1;58;03_Sc_CWIP_Passthrough;Event;0,2201532;True;0;2;0;2;0,540329;0,6221771;0
22;3,387926;CWIP;Estacionario;0,7779089;0,2706512;0,45;0,45;0,240986;0,45;0,3506626;0,45;0;0;( 1.428f, -0.781f );( 1.529f, 1.349f, -0.610f );0,538;0,708;0;0,17;0,17;0,05094364;ON_THE_FLOOR;RAISED_UP;RESTING_DOWN;ELEVATING;0;0;0;0,005386169;0;0;0,005386169;1,518865;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164544;1;58;03_Sc_CWIP_Passthrough;Event;0,2706512;True;0;2;0;2;0,5396998;0,6453627;0
23;3,990139;CWIP;Estacionario;0,5536289;0,2533283;0,45;0;0,1758821;0,45;0,3774992;0,45;0;0;( 1.398f, -0.787f );( 1.504f, 1.489f, -0.652f );0,544;0,828;0;0,284;0,284;0,08313304;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;ELEVATING;0;0;0;0,04596842;0;0;0,04596842;1,550703;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164544;1;58;03_Sc_CWIP_Passthrough;Event;0,2533283;True;0;0;0;2;0,5408615;0,6947033;0
24;4,375578;CWIP;Estacionario;0,2812253;0,1903906;0;0;0,1283665;0;0,2755155;0;0;0;( 1.405f, -0.772f );( 1.479f, 1.542f, -0.679f );0,536;0,673;0;0,137;0,137;0,07129517;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;ELEVATING;0;0;0;0,03059292;0;0;0,03059292;1,475584;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164545;1;58;03_Sc_CWIP_Passthrough;Event;0,1903906;True;0;0;0;2;0,5395482;0,68884;0
