Registo;Tempo Absoluto (Segundos);Metodo de Deslocamento Em Uso;Estado Actual;Vel. Real (Directa, Normal);Vel. Real (Directa, Kalman);Vel. Virtual in Use (WIP);Vel. Virtual (WIP, Normal);Vel. Virtual (WIP, Kalman);Vel. Virtual (WIP, Event, Normal);Vel. Virtual (WIP, Event, Kalman);Vel. Virtual * Aumento (WIP);Vel. Virtual * Aumento (WIP) * Delta;Delta;Joint Vel. Real (Vector 2);Joint Camera (Vector 3);Joelho Direito (y);Joelho Esquerdo (y);Desvio Joelho Direito;Desvio Joelho Esquerdo;Desvio Joelho Geral;Desvio Joelho Kalman;Direito FootStates (WIP);Esquerdo FootStates (WIP);Direito FootTransitionEvents (WIP);Esquerdo FootTransitionEvents (WIP);N. Passos Total (WIP);N. Passos Direito (WIP);N. Passos Esquerdo (WIP);Distancia Direct;Distancia Wip;Distancia Estacionario;Distancia do anterior;Altura;Threshold de Velocidade Directa;Threshold de Velocidade WIP;Threshold Diff Knee;Threshold do Passo (WIP);Velocidade Inicial WIP;Velocidade Maxima WIP;Nome Joint Vel. Real;Nome Joint Camera;Tempo;Aumento (WIP);Id;Nivel;WIP Mode;Vel. Real (Directa, Kalman, Base);Begin Stop Active;Direito FootStates (WIP, Int);Esquerdo FootStates (WIP, Int);Direito FootTransitionEvents (WIP, Int);Esquerdo FootTransitionEvents (WIP, Int);Joelho Direito (y, Kalman);Joelho Esquerdo (y, Kalman);Vel. Virtual in Use (Estado, WIP)
0;0,010086;CWIP;Estacionario;0;0;0;0;0;0;0;0;0;0;( 0.929f, -0.114f );( 0.962f, 1.602f, -0.198f );0,493;0,504;0;0,01100001;0,01100001;0,0243252;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;1,65;0;0;0;1,733708;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164501;1;29;03_Sc_CWIP_Passthrough;Event;0;True;0;0;0;0;0,2477154;0,2532425;0
1;0,409154;CWIP;Estacionario;0;0;0;0;0;0;0;0;0;0;( 0.929f, -0.114f );( 0.962f, 1.602f, -0.198f );0,493;0,504;0;0,01100001;0,01100001;0,01407978;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,733708;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164502;1;29;03_Sc_CWIP_Passthrough;Event;0;True;0;0;0;0;0,3399329;0,3475177;0
2;0,656534;CWIP;Estacionario;0,6574345;0,1349752;0;0;0;0;0;0;0;0;( 0.995f, -0.122f );( 1.025f, 1.592f, -0.200f );0,493;0,509;0;0,016;0,016;0,01056616;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0;0;0;0;1,774386;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164502;1;29;03_Sc_CWIP_Passthrough;Event;0,1349752;True;0;0;0;0;0,3892933;0,3995918;0
3;0,968178;CWIP;Estacionario;0,3006667;0,1312789;0;0;0;0;0;0;0;0;( 1.017f, -0.116f );( 1.052f, 1.599f, -0.199f );0,504;0,516;0;0,01199996;0,01199996;0,007975646;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,06648117;0;0;0,06648117;1,736604;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164502;1;29;03_Sc_CWIP_Passthrough;Event;0,1312789;True;0;0;0;0;0,4233612;0,434165;0
4;1,037376;CWIP;Estacionario;0,03333322;0,07636017;0;0;0;0;0;0;0;0;( 1.019f, -0.116f );( 1.054f, 1.600f, -0.199f );0,506;0,517;0;0,01100004;0,01100004;0,006414562;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,02280657;0;0;0,02280657;1,726336;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164502;1;29;03_Sc_CWIP_Passthrough;Event;0,07636017;True;0;0;0;0;0,4468456;0,4577051;0
5;1,37103;CWIP;Estacionario;0,1908915;0,07832164;0;0;0;0;0;0;0;0;( 1.021f, -0.104f );( 1.061f, 1.609f, -0.189f );0,508;0,518;0;0,00999999;0,00999999;0,005388161;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,001995087;0;0;0,001995087;1,769786;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164503;1;29;03_Sc_CWIP_Passthrough;Event;0,07832164;True;0;0;0;0;0,463819;0,47444;0
6;1,80106;CWIP;Estacionario;0,262385;0,09346055;0;0;0;0;0;0;0;0;( 1.018f, -0.090f );( 1.057f, 1.618f, -0.172f );0,506;0,518;0;0,01200002;0,01200002;0,005236278;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,01216597;0;0;0,01216597;1,771903;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164503;1;29;03_Sc_CWIP_Passthrough;Event;0,09346055;True;0;0;0;0;0,4753797;0,4863787;0
7;1,872105;CWIP;Estacionario;0,05874227;0,06136437;0;0;0;0;0;0;0;0;( 1.016f, -0.087f );( 1.055f, 1.614f, -0.167f );0,512;0,518;0;0,005999982;0,005999982;0,003972187;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,01431747;0;0;0,01431747;1,746402;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164503;1;29;03_Sc_CWIP_Passthrough;Event;0,06136437;True;0;0;0;0;0,4853491;0,4949872;0
8;1,919149;CWIP;Estacionario;0,09406319;0,05123359;0;0;0;0;0;0;0;0;( 1.014f, -0.084f );( 1.050f, 1.608f, -0.160f );0,511;0,518;0;0,007000029;0,007000029;0,003496079;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,003604947;0;0;0,003604947;1,736939;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164503;1;29;03_Sc_CWIP_Passthrough;Event;0,05123359;True;0;0;0;0;0,4923073;0,5012297;0
9;2,019793;CWIP;Estacionario;0,0646143;0,04003078;0;0;0;0;0;0;0;0;( 1.012f, -0.082f );( 1.045f, 1.606f, -0.154f );0,51;0,517;0;0,007000029;0,007000029;0,003242472;ON_THE_FLOOR;ON_THE_FLOOR;RESTING_DOWN;RESTING_DOWN;0;0;0;0,003607058;0;0;0,003607058;1,731774;0,8;0;0,05;0,035;0,45;4;SpineMid;Head;20170126T164503;1;29;03_Sc_CWIP_Passthrough;Event;0,04003078;True;0;0;0;0;0,4970975;0,5054994;0
