Registo;Tempo Absoluto (Segundos);Tempo;FPS;Delta;Estado;Player Position (Real);Camera Position (Real);Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Num Colicoes (Objectos do Mundo Virtual);Num Embates (Indicadores de Obstaculos)
0;0,005194;20170227T182039;315,7895;0;Estacionario;(0.000,1.650,0.000);(0.000,1.650,0.081);0;0,45;0;0,8;0;0
1;0,089075;20170227T182039;221,4022;0;Estacionario;(0.000,1.650,0.000);(0.000,0.979,0.000);0,1092647;0,4237448;0;0,8;0;0
2;0,131422;20170227T182039;174,4693;0;Estacionario;(0.020,1.650,0.014);(0.003,0.932,0.007);0,2713114;0,4237448;0;0,8;0;0
3;0,16202;20170227T182039;146,5166;0;Estacionario;(-0.011,1.650,0.007);(-0.001,0.981,0.003);0,1901174;0,4237448;0;0,8;0;1
4;0,262701;20170227T182039;97,94646;0;Estacionario;(-0.012,1.650,0.003);(-0.002,0.982,0.001);0,1520158;0,4237448;0;0,8;0;1
5;0,296132;20170227T182039;92,12039;0;Estacionario;(-0.006,1.650,0.002);(-0.001,0.981,0.000);0,1314729;0,4237448;0;0,8;0;1
6;0,379665;20170227T182039;77,79759;0;Estacionario;(0.000,1.650,0.000);(0.000,0.979,0.000);0,2658202;0,4237448;0;0,8;0;1
7;0,480993;20170227T182039;72,00908;0;Estacionario;(0.023,1.650,0.001);(-0.003,0.947,0.005);0,263768;0,4237448;0;0,8;0;1
8;0,514912;20170227T182039;70,59609;0;Estacionario;(0.020,1.650,0.014);(0.003,0.932,0.007);0,4189263;0,2912482;0;0,8;0;1
9;0,597635;20170227T182040;66,55405;0;Estacionario;(0.039,1.650,-0.009);(0.074,0.915,0.037);0,247001;0,2912482;0;0,8;0;1
10;0,681322;20170227T182040;64,14442;0;Estacionario;(0.039,1.650,-0.006);(0.070,0.920,0.041);0,1594665;0,2912482;0;0,8;0;1
11;0,734536;20170227T182040;63,31349;0;Estacionario;(0.038,1.650,-0.003);(0.065,0.924,0.044);0,1163744;0,2912482;0;0,8;0;1
12;0,815439;20170227T182040;62,13346;0;Estacionario;(0.037,1.650,0.001);(0.060,0.928,0.046);0,08000196;0,3180653;0;0,8;0;1
