Registo;Tempo Absoluto (Segundos);Tempo;FPS;Delta;Estado;Player Position (Real);Camera Position (Real);Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Num Colicoes (Objectos do Mundo Virtual);Num Embates (Indicadores de Obstaculos)
0;0,005394;20170227T183435;315,7895;0;Estacionario;(0.000,1.650,0.000);(0.000,1.650,0.081);0;0,45;0;0,8;0;0
1;0,082619;20170227T183435;221,4022;0;Estacionario;(0.000,1.650,0.000);(0.000,1.191,0.000);0;0,2375523;0;0,8;0;0
2;0,115232;20170227T183435;174,4693;0;Estacionario;(0.000,1.650,0.000);(0.001,1.190,-0.001);0,008724137;0,2375523;0;0,8;0;0
3;0,182722;20170227T183435;128,0522;0;WIP;(0.001,1.650,0.000);(0.000,1.191,0.000);0,01212656;0,2375523;0;0,8;0;1
4;0,215894;20170227T183435;115,0079;0,059552;WIP;(0.014,1.650,0.006);(0.014,1.191,0.006);0,006444476;0,2375523;0,01414671;0,8;0;1
5;0,316411;20170227T183435;92,12039;0,115186;WIP;(0.066,1.650,0.032);(0.066,1.191,0.032);0,003430531;0,2375523;0,02736269;0,8;0;1
6;0,399794;20170227T183435;80,44907;0,105201;WIP;(0.116,1.650,0.055);(0.116,1.191,0.055);0,03285862;0,2375523;0,02499073;0,8;0;1
7;0,521315;20170227T183435;69,37099;0,128991;WIP;(0.211,1.650,0.099);(0.217,1.186,0.096);0,03272028;0,2375523;0,0306421;0,8;0;1
8;0,602084;20170227T183436;66,55405;0,109373;WIP;(0.263,1.650,0.122);(0.264,1.190,0.121);0,03217637;0,2375523;0,0259818;0,8;0;1
9;0,719315;20170227T183436;64,14442;0,142788;Estacionario;(0.347,1.650,0.161);(0.353,1.186,0.158);0,03659067;0,2375523;0,03391961;0,8;0;1
10;0,803378;20170227T183436;62,96576;0,142788;WIP;(0.348,1.650,0.159);(0.355,1.186,0.156);0,0300806;0,2562674;0,03659191;0,8;0;1
11;0,835297;20170227T183436;62,65606;0,058723;WIP;(0.335,1.650,0.152);(0.342,1.186,0.148);0,05460435;0,2562674;0,01504879;0,8;0;1
12;0,9193;20170227T183436;61,91331;0,099477;WIP;(0.287,1.650,0.124);(0.294,1.187,0.119);0,04006242;0,2562674;0,02549271;0,8;0;1
13;1,003306;20170227T183436;61,38285;0,108385;WIP;(0.234,1.650,0.093);(0.240,1.187,0.087);0,0504874;0,2562674;0,02777554;0,8;0;1
14;1,036538;20170227T183436;61,2417;0,053862;WIP;(0.222,1.650,0.085);(0.227,1.188,0.077);0,03859147;0,2562674;0,01380308;0,8;0;1
15;1,121367;20170227T183436;60,90015;0,10688;WIP;(0.171,1.650,0.053);(0.174,1.190,0.042);0,02824097;0,2086317;0,02229856;0,8;0;1
16;1,223399;20170227T183436;60,58755;0,124632;WIP;(0.110,1.650,0.012);(0.110,1.192,-0.002);0,0260861;0,2086317;0,02600219;0,8;0;1
17;1,305221;20170227T183436;60,42719;0,105643;WIP;(0.071,1.650,-0.015);(0.069,1.195,-0.031);0,02121753;0,2086317;0,02204048;0,8;0;1
18;1,354285;20170227T183436;60,38419;0,075458;WIP;(0.058,1.650,-0.024);(0.053,1.198,-0.041);0,01686786;0,2086317;0,01574293;0,8;0;1
19;1,421737;20170227T183436;60,31082;0,102257;WIP;(0.029,1.650,-0.046);(0.021,1.200,-0.063);0,01966709;0,2086317;0,02133405;0,8;0;1
20;1,540273;20170227T183436;60,22627;0,142799;WIP;(-0.020,1.650,-0.083);(-0.034,1.204,-0.099);0,02818267;0,2086317;0,0297924;0,8;0;1
21;1,639675;20170227T183437;60,16478;0,134627;WIP;(-0.070,1.650,-0.121);(-0.094,1.208,-0.125);0,09590273;0,2086317;0,02808746;0,8;0;1
22;1,724063;20170227T183437;60,12003;0,100148;WIP;(-0.109,1.650,-0.144);(-0.144,1.208,-0.130);0,0510847;0,2086317;0,02089405;0,8;0;1
23;1,824637;20170227T183437;60,0787;0,125946;WIP;(-0.172,1.650,-0.183);(-0.207,1.208,-0.169);0,0825603;0,2086317;0,02627633;0,8;0;1
24;1,861401;20170227T183437;60,07082;0,055244;WIP;(-0.183,1.650,-0.188);(-0.223,1.207,-0.160);0,07736258;0,2086317;0,01152565;0,8;0;1
25;1,925219;20170227T183437;60,05161;0,08822;WIP;(-0.224,1.650,-0.204);(-0.266,1.206,-0.170);0,09530681;0,2086317;0,01840549;0,8;0;1
26;2,025934;20170227T183437;60,03384;0,109351;WIP;(-0.280,1.650,-0.225);(-0.322,1.205,-0.189);0,06898992;0,2086317;0,02281409;0,8;0;1
27;2,05913;20170227T183437;60,03046;0,056321;WIP;(-0.291,1.650,-0.228);(-0.334,1.204,-0.189);0,05642154;0,2086317;0,01175035;0,8;0;1
28;2,22671;20170227T183437;60,0131;0,188863;WIP;(-0.475,1.650,-0.285);(-0.518,1.203,-0.246);0,04114674;0,2086317;0,03940281;0,8;0;1
29;2,263976;20170227T183437;60,0118;0,057476;WIP;(-0.487,1.650,-0.289);(-0.527,1.203,-0.255);0,03059684;0,2086317;0,01199132;0,8;0;1
30;2,326288;20170227T183437;60,00859;0,088485;WIP;(-0.530,1.650,-0.302);(-0.569,1.203,-0.273);0,0374614;0,2086317;0,01846078;0,8;0;1
31;2,427604;20170227T183437;60,00507;0,109353;WIP;(-0.592,1.650,-0.323);(-0.630,1.204,-0.299);0,01995464;0,2086317;0,0228145;0,8;0;1
32;2,460504;20170227T183437;60,00456;0,052049;WIP;(-0.602,1.650,-0.326);(-0.638,1.205,-0.308);0,01062928;0,2086317;0,01085907;0,8;0;1
33;2,545503;20170227T183437;60,00299;0,106974;WIP;(-0.657,1.650,-0.344);(-0.692,1.205,-0.330);0,005661918;0,2086317;0,02231817;0,8;0;1
34;2,578362;20170227T183437;60,00269;0,056862;WIP;(-0.668,1.650,-0.348);(-0.701,1.206,-0.339);0,003015945;0,2086317;0,01186322;0,8;0;1
35;2,646207;20170227T183438;60,00196;0,08232;WIP;(-0.701,1.650,-0.357);(-0.734,1.207,-0.353);0,01304962;0,2086317;0,01717456;0,8;0;1
36;2,749689;20170227T183438;60,00129;0,123441;WIP;(-0.771,1.650,-0.373);(-0.804,1.209,-0.375);0,01431851;0,2086317;0,02575371;0,8;0;1
37;2,780087;20170227T183438;60,00116;0,056293;WIP;(-0.782,1.650,-0.375);(-0.819,1.212,-0.384);0,06587612;0,2086317;0,0117445;0,8;0;1
38;2,865811;20170227T183438;60,00085;0,100495;Estacionario;(-0.827,1.650,-0.382);(-0.871,1.217,-0.401);0,0711059;0,2086317;0,02096644;0,8;0;1
39;2,931171;20170227T183438;60,00062;0,100495;Estacionario;(-0.831,1.650,-0.385);(-0.879,1.220,-0.410);0,2381113;0,2086317;0,02096644;0,8;0;1
40;2,963339;20170227T183438;60,00056;0,100495;WIP;(-0.838,1.650,-0.392);(-0.892,1.224,-0.424);0,2946954;0,1671918;0,01680194;0,8;0;1
41;3,080938;20170227T183438;60,00029;0,136385;WIP;(-0.760,1.650,-0.372);(-0.814,1.226,-0.407);0,2679901;0,1671918;0,02280245;0,8;0;1
42;3,165486;20170227T183438;60,00021;0,107058;WIP;(-0.721,1.650,-0.364);(-0.776,1.226,-0.403);0,2313856;0,1671918;0,01789922;0,8;0;1
43;3,252909;20170227T183438;60,00015;0,106149;WIP;(-0.682,1.650,-0.356);(-0.737,1.226,-0.398);0,1708657;0,1671918;0,01774724;0,8;0;1
44;3,281474;20170227T183438;60,00014;0,054794;WIP;(-0.673,1.650,-0.354);(-0.729,1.224,-0.400);0,1277517;0,1671918;0,009161106;0,8;0;1
45;3,365184;20170227T183438;60,00008;0,099869;WIP;(-0.632,1.650,-0.346);(-0.690,1.223,-0.394);0,09382292;0,1617588;0,01615469;0,8;0;1
46;3,450296;20170227T183438;60,00006;0,106474;WIP;(-0.589,1.650,-0.339);(-0.648,1.221,-0.390);0,07527625;0,1617588;0,0172231;0,8;0;1
47;3,48266;20170227T183438;60,00005;0,056356;WIP;(-0.580,1.650,-0.338);(-0.641,1.218,-0.389);0,07319655;0,1617588;0,009116077;0,8;0;1
48;3,567309;20170227T183438;60,00002;0,101938;WIP;(-0.538,1.650,-0.332);(-0.601,1.217,-0.383);0,07198189;0,1617588;0,01648937;0,8;0;1
49;3,600334;20170227T183439;60,00002;0,056249;WIP;(-0.529,1.650,-0.331);(-0.594,1.215,-0.383);0,0828555;0,1617588;0,009098769;0,8;0;1
50;3,66765;20170227T183439;60,00002;0,084453;WIP;(-0.492,1.650,-0.326);(-0.557,1.214,-0.377);0,1101715;0,1617588;0,01366101;0,8;0;1
51;3,768729;20170227T183439;60,00002;0,108723;WIP;(-0.446,1.650,-0.321);(-0.512,1.213,-0.371);0,09296949;0,1617588;0,0175869;0,8;0;1
52;3,805822;20170227T183439;60,00002;0,056344;WIP;(-0.437,1.650,-0.320);(-0.503,1.212,-0.368);0,07756396;0,1617588;0,009114136;0,8;0;1
53;3,884919;20170227T183439;60,00002;0,103905;WIP;(-0.400,1.650,-0.316);(-0.465,1.212,-0.363);0,06393772;0,1617588;0,01680754;0,8;0;1
55;4,069315;20170227T183439;60,00002;0,103295;WIP;(-0.301,1.650,-0.305);(-0.365,1.212,-0.350);0,06822367;0,1617588;0,01670887;0,8;0;1
56;4,102863;20170227T183439;60,00002;0,057611;WIP;(-0.292,1.650,-0.304);(-0.356,1.212,-0.346);0,05660836;0,1617588;0,009319084;0,8;0;1
57;4,271102;20170227T183439;60,00002;0,188421;WIP;(-0.138,1.650,-0.286);(-0.201,1.213,-0.327);0,06517046;0,1617588;0,03047875;0,8;0;1
58;4,303757;20170227T183439;60,00002;0,05708;WIP;(-0.129,1.650,-0.285);(-0.191,1.213,-0.323);0,04371119;0,1617588;0,009233191;0,8;0;1
59;4,387606;20170227T183439;60,00002;0,104942;WIP;(-0.085,1.650,-0.280);(-0.146,1.213,-0.317);0,03237334;0,1617588;0,01697529;0,8;0;1
60;4,489067;20170227T183439;60,00002;0,121787;WIP;(-0.025,1.650,-0.272);(-0.086,1.213,-0.308);0,02510897;0,1617588;0,01970011;0,8;0;1
61;4,52126;20170227T183439;60,00002;0,056915;WIP;(-0.016,1.650,-0.271);(-0.077,1.214,-0.307);0,02457443;0,1617588;0,0092065;0,8;0;1
63;4,689614;20170227T183440;60,00002;0,10923;WIP;(0.067,1.650,-0.259);(0.006,1.214,-0.293);0,02195154;0,1617588;0,01766891;0,8;0;1
64;4,790158;20170227T183440;60,00002;0,125807;WIP;(0.124,1.650,-0.251);(0.064,1.214,-0.285);0,02167361;0,1617588;0,02035039;0,8;0;1
65;4,823087;20170227T183440;60,00002;0,052012;WIP;(0.132,1.650,-0.250);(0.073,1.214,-0.284);0,01985574;0,1617588;0,008413397;0,8;0;1
66;4,90714;20170227T183440;60,00002;0,106611;WIP;(0.176,1.650,-0.244);(0.117,1.214,-0.279);0,0105766;0,1617588;0,01724526;0,8;0;1
67;5,011647;20170227T183440;60,00002;0,122402;WIP;(0.237,1.650,-0.236);(0.177,1.214,-0.271);0,01357128;0,1617588;0,0197996;0,8;0;1
68;5,041116;20170227T183440;60,00002;0,057281;WIP;(0.246,1.650,-0.234);(0.186,1.214,-0.269);0,007229038;0,1617588;0,009265704;0,8;0;1
69;5,090795;20170227T183440;60,00002;0,063259;WIP;(0.268,1.650,-0.231);(0.208,1.214,-0.266);0,003850706;0,1617588;0,0102327;0,8;0;1
70;5,209077;20170227T183440;60,00002;0,12644;WIP;(0.336,1.650,-0.222);(0.276,1.214,-0.258);0,010454;0,1617588;0,02045278;0,8;0;1
71;5,30897;20170227T183440;60,00002;0,122781;WIP;(0.391,1.650,-0.214);(0.330,1.214,-0.249);0,02560082;0,1617588;0,0198609;0,8;0;1
72;5,409878;20170227T183440;60,00002;0,109352;WIP;(0.441,1.650,-0.208);(0.379,1.214,-0.244);0,01363684;0,1617588;0,01768865;0,8;0;1
