Registo;Tempo Absoluto (Segundos);Tempo;FPS;Delta;Estado;Player Position (Real);Camera Position (Real);Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Num Colicoes (Objectos do Mundo Virtual);Num Embates (Indicadores de Obstaculos)
0;0,005918;20170227T182153;315,7895;0;Estacionario;(0.000,1.650,0.000);(0.000,1.650,0.081);0;0;0;0,8;0;0
1;0,085239;20170227T182153;221,4022;0;Estacionario;(0.000,1.650,0.000);(0.000,1.836,0.000);0,02103256;0,45;0;0,8;0;0
2;0,312653;20170227T182153;146,5166;0;Estacionario;(0.002,1.650,-0.002);(0.004,1.842,-0.007);0,02338326;0,3852565;0;0,8;0;1
3;0,402264;20170227T182153;128,0522;0;Estacionario;(-0.002,1.650,-0.001);(-0.003,1.832,0.010);0,02209726;0,3852565;0;0,8;0;1
4;0,532985;20170227T182154;105,3495;0;Estacionario;(0.001,1.650,0.000);(0.006,1.843,-0.006);0,0381503;0,3852565;0;0,8;0;1
5;0,583069;20170227T182154;97,94646;0;Estacionario;(-0.006,1.650,0.000);(-0.009,1.825,0.018);0,05648596;0,3852565;0;0,8;0;1
6;0,65037;20170227T182154;92,12039;0;Estacionario;(0.001,1.650,-0.002);(-0.003,1.832,0.007);0,04174255;0,3852565;0;0,8;0;1
7;0,699946;20170227T182154;87,43941;0;Estacionario;(-0.002,1.650,-0.001);(-0.003,1.832,0.010);0,04298093;0,3852565;0;0,8;0;1
8;0,817506;20170227T182154;80,44907;0;Estacionario;(-0.006,1.650,0.000);(-0.009,1.825,0.018);0,03432235;0,3852565;0;0,8;0;1
9;0,920717;20170227T182154;75,55639;0;Estacionario;(-0.008,1.650,0.002);(0.003,1.834,-0.013);0,01828248;0,3852565;0;0,8;0;1
10;1,018197;20170227T182154;72,00908;0;Estacionario;(-0.008,1.650,0.002);(0.003,1.834,-0.013);0,01456374;0,3852565;0;0,8;0;1
11;1,118592;20170227T182154;69,37099;0;Estacionario;(-0.008,1.650,0.001);(-0.004,1.843,-0.011);0,0128328;0,3852565;0;0,8;0;1
12;1,23752;20170227T182154;67,37174;0;Estacionario;(-0.009,1.650,0.001);(-0.005,1.842,-0.005);0,01079394;0,3852565;0;0,8;0;1
13;1,336808;20170227T182154;65,8349;0;Estacionario;(-0.009,1.650,0.002);(-0.003,1.837,0.013);0,005749628;0,3852565;0;0,8;0;1
14;1,389306;20170227T182154;65,20084;0;Estacionario;(-0.009,1.650,0.002);(-0.003,1.837,0.013);0,01992775;0;0;0,8;0;1
15;1,436816;20170227T182154;64,64053;0;Estacionario;(-0.006,1.650,0.001);(0.000,1.834,0.020);0,01581028;0;0;0,8;0;1
17;1,638278;20170227T182155;62,96576;0;Estacionario;(-0.005,1.650,-0.001);(-0.001,1.833,0.024);0,01294508;0,3240104;0;0,8;0;1
18;1,707115;20170227T182155;62,65606;0;Estacionario;(-0.004,1.650,-0.001);(-0.003,1.826,0.025);0,01190953;0,3240104;0;0,8;0;1
19;1,773186;20170227T182155;62,37991;0;Estacionario;(-0.003,1.650,-0.002);(-0.002,1.826,0.020);0,01015017;0,3240104;0;0,8;0;1
20;1,838906;20170227T182155;62,13346;0;Estacionario;(-0.004,1.650,-0.002);(-0.003,1.821,0.024);0,01737959;0,3240104;0;0,8;0;1
21;1,889766;20170227T182155;61,91331;0;Estacionario;(-0.007,1.650,-0.001);(-0.005,1.815,0.028);0,0243387;0,3240104;0;0,8;0;1
22;1,939579;20170227T182155;61,7165;0;Estacionario;(-0.010,1.650,-0.002);(-0.010,1.807,0.032);0,02468589;0,3240104;0;0,8;0;1
23;2,044383;20170227T182155;61,38285;0;Estacionario;(-0.012,1.650,-0.003);(-0.009,1.805,0.028);0,02761313;0,3240104;0;0,8;0;1
24;2,140736;20170227T182155;61,11523;0;Estacionario;(-0.012,1.650,0.000);(0.007,1.815,-0.011);0,01470874;0,3240104;0;0,8;0;1
25;2,240972;20170227T182155;60,90015;0;Estacionario;(-0.012,1.650,0.000);(0.007,1.815,-0.011);0,0479686;0,3240104;0;0,8;0;1
26;2,341476;20170227T182155;60,72705;0;Estacionario;(-0.012,1.650,0.007);(0.011,1.822,-0.016);0,02555153;0,3240104;0;0,8;0;1
