Registo;Tempo Absoluto (Segundos);Tempo;FPS;Delta;Estado;Player Position (Real);Camera Position (Real);Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Num Colicoes (Objectos do Mundo Virtual);Num Embates (Indicadores de Obstaculos)
18;1,210318;20170227T180910;60,42719;0;Direct;(0.013,1.650,-0.170);(-0.001,1.062,-0.110);2,126578;0;0;0,8;0;1
19;1,273976;20170227T180910;60,31082;0;Direct;(0.016,1.650,-0.207);(-0.001,1.046,-0.135);3,045169;0;0;0,8;0;1
20;1,360343;20170227T180910;60,18315;0;Direct;(0.021,1.650,-0.254);(-0.001,1.025,-0.167);3,217434;0;0;0,8;0;1
21;1,391718;20170227T180910;60,16478;0;Direct;(0.024,1.650,-0.290);(-0.001,1.008,-0.191);2,565005;0;0;0,8;0;1
22;1,493064;20170227T180911;60,09718;0;Direct;(0.026,1.650,-0.308);(0.000,1.000,-0.204);2,092367;0;0;0,8;0;1
23;1,52495;20170227T180911;60,08745;0;Direct;(0.028,1.650,-0.328);(0.000,0.992,-0.217);1,662975;0;0;0,8;0;1
24;1,579347;20170227T180911;60,06373;0;Direct;(0.029,1.650,-0.338);(0.000,0.987,-0.224);2,240254;0;0;0,8;0;1
25;1,693067;20170227T180911;60,03761;0;Direct;(0.027,1.650,-0.298);(0.000,1.005,-0.198);2,457976;0;0;0,8;0;1
26;1,729924;20170227T180911;60,03384;0;Direct;(0.020,1.650,-0.222);(0.002,1.038,-0.148);2,736778;0;0;0,8;0;1
27;1,811192;20170227T180911;60,02466;0;Direct;(0.014,1.650,-0.150);(0.003,1.070,-0.100);2,856688;0;0;0,8;0;1
28;1,910415;20170227T180911;60,01617;0;Direct;(0.008,1.650,-0.087);(0.004,1.098,-0.058);2,668088;0;0;0,8;0;1
29;1,97832;20170227T180911;60,01061;0;Direct;(0.003,1.650,-0.036);(0.005,1.121,-0.023);2,906568;0;0;0,8;0;1
30;2,02754;20170227T180911;60,00859;0;Direct;(0.000,1.650,0.002);(0.005,1.139,0.003);2,424685;0;0;0,8;0;1
31;2,097049;20170227T180911;60,00564;0;Direct;(-0.003,1.650,0.029);(0.006,1.151,0.021);2,16832;0;0;0,8;0;1
32;2,212713;20170227T180911;60,00299;0;Direct;(-0.004,1.650,0.044);(0.006,1.158,0.032);2,045772;0;0;0,8;0;1
33;2,296776;20170227T180911;60,00218;0;Direct;(-0.003,1.650,0.007);(0.005,1.141,0.008);2,322073;0;0;0,8;0;1
34;2,329722;20170227T180911;60,00196;0;Direct;(0.004,1.650,-0.068);(0.004,1.106,-0.043);2,389036;0;0;0,8;0;1
35;2,397702;20170227T180911;60,00129;0;Direct;(0.008,1.650,-0.117);(0.003,1.084,-0.075);3,538832;0;0;0,8;0;1
36;2,531043;20170227T180912;60,00069;0;Direct;(0.014,1.650,-0.184);(0.002,1.054,-0.120);3,988012;0;0;0,8;0;1
37;2,615073;20170227T180912;60,00045;0;Direct;(0.021,1.650,-0.271);(0.001,1.014,-0.179);2,910626;0;0;0,8;0;1
38;2,717304;20170227T180912;60,00029;0;Direct;(0.021,1.650,-0.271);(0.001,1.014,-0.179);3,224861;0;0;0,8;0;1
39;2,816933;20170227T180912;60,00019;0;Direct;(0.017,1.650,-0.202);(0.001,1.044,-0.133);2,353645;0;0;0,8;0;1
40;2,848963;20170227T180912;60,00017;0;Direct;(0.017,1.650,-0.202);(0.001,1.044,-0.133);3,409753;0;0;0,8;0;1
41;2,916527;20170227T180912;60,00011;0;Direct;(0.009,1.650,-0.097);(0.002,1.091,-0.062);3,223904;0;0;0,8;0;1
42;3,017106;20170227T180912;60,00006;0;Direct;(0.006,1.650,-0.067);(0.003,1.105,-0.042);2,809144;0;0;0,8;0;1
43;3,051315;20170227T180912;60,00006;0;Direct;(0.003,1.650,-0.030);(0.003,1.122,-0.017);2,35147;0;0;0,8;0;1
44;3,133416;20170227T180912;60,00004;0;Direct;(0.000,1.650,-0.002);(0.004,1.136,0.001);1,910499;0;0;0,8;0;1
45;3,236111;20170227T180912;60,00002;0;Direct;(-0.001,1.650,0.012);(0.003,1.142,0.010);1,531783;0;0;0,8;0;1
46;3,268442;20170227T180912;60,00002;0;Direct;(-0.003,1.650,0.025);(0.003,1.150,0.019);1,237274;0;0;0,8;0;1
47;3,334565;20170227T180912;60,00002;0;Direct;(-0.003,1.650,0.032);(0.003,1.153,0.023);0,9294854;0;0;0,8;0;1
48;3,437823;20170227T180913;60,00002;0;Estacionario;(-0.004,1.650,0.032);(0.003,1.153,0.024);0,5134152;0,3823333;0;0,8;0;1
49;3,469511;20170227T180913;60,00002;0;Estacionario;(-0.003,1.650,0.030);(0.003,1.152,0.023);0,3393897;0,2198789;0;0,8;0;1
50;3,53647;20170227T180913;60,00002;0;Estacionario;(-0.002,1.650,0.023);(0.003,1.149,0.020);0,222975;0,2198789;0;0,8;0;1
51;3,620598;20170227T180913;60,00002;0;Estacionario;(-0.001,1.650,0.018);(0.003,1.147,0.017);0,2954119;0,2198789;0;0,8;0;1
52;3,669775;20170227T180913;60,00002;0;Estacionario;(0.000,1.650,0.009);(0.004,1.142,0.013);0,3347236;0,2198789;0;0,8;0;1
54;3,855067;20170227T180913;60,00002;0;Estacionario;(0.004,1.650,-0.008);(0.007,1.133,0.005);0,185412;0,2198789;0;0,8;0;1
55;3,942841;20170227T180913;60,00002;0;Estacionario;(0.005,1.650,-0.015);(0.008,1.129,0.001);0,13911;0,2198789;0;0,8;0;1
56;3,971444;20170227T180913;60,00002;0;Estacionario;(0.006,1.650,-0.020);(0.008,1.126,-0.001);0,1173989;0,2198789;0;0,8;0;1
57;4,038859;20170227T180913;60,00002;0;Estacionario;(0.006,1.650,-0.024);(0.009,1.123,-0.003);0,1029973;0,2198789;0;0,8;0;1
58;4,156065;20170227T180913;60,00002;0;Estacionario;(0.006,1.650,-0.026);(0.009,1.122,-0.003);0,07848144;0,2198789;0;0,8;0;1
59;4,257055;20170227T180913;60,00002;0;Estacionario;(0.006,1.650,-0.028);(0.009,1.120,-0.002);0,04180487;0,2198789;0;0,8;0;1
60;4,357142;20170227T180913;60,00002;0;Estacionario;(0.006,1.650,-0.028);(0.009,1.120,-0.002);0,05687349;0,2198789;0;0,8;0;1
61;4,475176;20170227T180914;60,00002;0;Estacionario;(0.005,1.650,-0.026);(0.010,1.119,0.001);0,03029491;0,2198789;0;0,8;0;1
62;4,558466;20170227T180914;60,00002;0;Estacionario;(0.005,1.650,-0.026);(0.010,1.119,0.001);0,05009017;0;0;0,8;0;1
64;4,692102;20170227T180914;60,00002;0;Estacionario;(0.004,1.650,-0.021);(0.009,1.121,0.005);0,03860169;0,2401513;0;0,8;0;1
65;4,780228;20170227T180914;60,00002;0;Estacionario;(0.003,1.650,-0.020);(0.009,1.122,0.005);0,02056204;0,2401513;0;0,8;0;1
66;4,893096;20170227T180914;60,00002;0;Estacionario;(0.003,1.650,-0.020);(0.010,1.122,0.005);0,02290392;0,2401513;0;0,8;0;1
67;4,961725;20170227T180914;60,00002;0;Estacionario;(0.003,1.650,-0.019);(0.009,1.123,0.004);0,01220028;0,2401513;0;0,8;0;1
68;5,063861;20170227T180914;60,00002;0;Estacionario;(0.003,1.650,-0.019);(0.009,1.123,0.004);0,01414505;0,2401513;0;0,8;0;1
69;5,094272;20170227T180914;60,00002;0;Estacionario;(0.003,1.650,-0.018);(0.008,1.124,0.003);0,0165127;0,2401513;0;0,8;0;1
70;5,182034;20170227T180914;60,00002;0;Estacionario;(0.004,1.650,-0.018);(0.007,1.124,0.003);0,008795853;0,2401513;0;0,8;0;1
71;5,262916;20170227T180914;60,00002;0;Estacionario;(0.004,1.650,-0.018);(0.007,1.125,0.003);0,004685304;0,2401513;0;0,8;0;1
72;5,298133;20170227T180914;60,00002;0;Estacionario;(0.004,1.650,-0.018);(0.006,1.125,0.003);0,00249573;0,2401513;0;0,8;0;1
73;5,379311;20170227T180914;60,00002;0;Estacionario;(0.004,1.650,-0.018);(0.005,1.125,0.002);0,001329405;0,2401513;0;0,8;0;1
74;5,496658;20170227T180915;60,00002;0;Estacionario;(0.004,1.650,-0.018);(0.005,1.126,0.001);0,0153015;0,2401513;0;0,8;0;1
75;5,69808;20170227T180915;60,00002;0;Estacionario;(0.005,1.650,-0.019);(0.003,1.127,-0.001);0,01649019;0,2401513;0;0,8;0;1
76;5,781823;20170227T180915;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.004,1.126,-0.001);0,008783864;0,45;0;0,8;0;1
77;5,815308;20170227T180915;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.005,1.125,-0.001);0,01260723;0,2401518;0;0,8;0;1
78;5,899259;20170227T180915;60,00002;0;Estacionario;(0.006,1.650,-0.020);(0.005,1.125,-0.001);0,00671552;0,2401518;0;0,8;0;1
79;6,001922;20170227T180915;60,00002;0;Estacionario;(0.006,1.650,-0.020);(0.005,1.125,-0.001);0,003577169;0,2401518;0;0,8;0;1
81;6,1201;20170227T180915;60,00002;0;Estacionario;(0.006,1.650,-0.020);(0.007,1.125,-0.001);0,001014984;0,2401518;0;0,8;0;1
82;6,200316;20170227T180915;60,00002;0;Estacionario;(0.006,1.650,-0.020);(0.008,1.125,0.000);0,0005406534;0,2401518;0;0,8;0;1
83;6,301126;20170227T180915;60,00002;0;Estacionario;(0.006,1.650,-0.020);(0.009,1.125,0.000);0,0002879909;0,2401518;0;0,8;0;1
84;6,422015;20170227T180916;60,00002;0;Estacionario;(0.006,1.650,-0.020);(0.010,1.125,0.000);0,0001534047;0,2401518;0;0,8;0;1
85;6,503647;20170227T180916;60,00002;0;Estacionario;(0.006,1.650,-0.020);(0.010,1.125,0.000);0,008387631;0,2401518;0;0,8;0;1
86;6,540006;20170227T180916;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.010,1.127,-0.002);0,004467856;0,2401518;0;0,8;0;1
88;6,719532;20170227T180916;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.009,1.127,-0.004);0,001267707;0,2401518;0;0,8;0;1
89;6,820859;20170227T180916;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.009,1.127,-0.006);0,0006752718;0,2401518;0;0,8;0;1
90;6,853605;20170227T180916;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.008,1.127,-0.006);0,0003596984;0,45;0;0,8;0;1
91;6,937291;20170227T180916;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.008,1.127,-0.006);0,0001916012;0,225;0;0,8;0;1
92;7,022151;20170227T180916;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.008,1.126,-0.006);0,0001020606;0,225;0;0,8;0;1
93;7,088946;20170227T180916;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.008,1.125,-0.006);5,436482E-05;0,225;0;0,8;0;1
94;7,155079;20170227T180916;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.008,1.125,-0.005);2,895862E-05;0,225;0;0,8;0;1
95;7,222789;20170227T180916;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.008,1.125,-0.005);1,542544E-05;0,225;0;0,8;0;1
96;7,255765;20170227T180916;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.007,1.123,-0.004);8,216701E-06;0,225;0;0,8;0;1
97;7,339445;20170227T180916;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.007,1.123,-0.004);4,376806E-06;0,225;0;0,8;0;1
98;7,423622;20170227T180917;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.006,1.122,-0.004);2,331402E-06;0,225;0;0,8;0;1
99;7,457085;20170227T180917;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.006,1.123,-0.004);1,241872E-06;0,225;0;0,8;0;1
100;7,54054;20170227T180917;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.006,1.124,-0.004);6,615106E-07;0,225;0;0,8;0;1
101;7,641082;20170227T180917;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.005,1.124,-0.005);3,523681E-07;0,225;0;0,8;0;1
102;7,726988;20170227T180917;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.004,1.125,-0.005);0,008436901;0,225;0;0,8;0;1
103;7,758407;20170227T180917;60,00002;0;Estacionario;(0.006,1.650,-0.020);(0.004,1.125,-0.005);0,0044941;0,225;0;0,8;0;1
104;7,842981;20170227T180917;60,00002;0;Estacionario;(0.006,1.650,-0.020);(0.004,1.125,-0.004);0,002393881;0,225;0;0,8;0;1
105;7,962227;20170227T180917;60,00002;0;Estacionario;(0.006,1.650,-0.020);(0.004,1.126,-0.004);0,001275153;0,225;0;0,8;0;1
106;8,044983;20170227T180917;60,00002;0;Estacionario;(0.006,1.650,-0.020);(0.004,1.126,-0.003);0,0006792385;0,45;0;0,8;0;1
107;8,245589;20170227T180917;60,00002;0;Estacionario;(0.006,1.650,-0.020);(0.003,1.127,-0.003);0,009869444;0,225;0;0,8;0;1
108;8,277851;20170227T180917;60,00002;0;Estacionario;(0.006,1.650,-0.021);(0.003,1.128,-0.005);0,005257176;0,225;0;0,8;0;1
109;8,345418;20170227T180917;60,00002;0;Estacionario;(0.006,1.650,-0.021);(0.003,1.128,-0.005);0,00280035;0,225;0;0,8;0;1
110;8,431571;20170227T180918;60,00002;0;Estacionario;(0.006,1.650,-0.021);(0.004,1.128,-0.006);0,0203253;0,225;0;0,8;0;1
111;8,461947;20170227T180918;60,00002;0;Estacionario;(0.006,1.650,-0.020);(0.004,1.128,-0.006);0,01997896;0,225;0;0,8;0;1
112;8,547282;20170227T180918;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.004,1.127,-0.007);0,01064223;0,225;0;0,8;0;1
113;8,579309;20170227T180918;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.004,1.127,-0.007);0,005668818;0,225;0;0,8;0;1
114;8,646461;20170227T180918;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.004,1.126,-0.007);0,00301962;0,225;0;0,8;0;1
115;8,74765;20170227T180918;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.004,1.127,-0.007);0,001608467;0,225;0;0,8;0;1
116;8,780912;20170227T180918;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.004,1.127,-0.007);0,0008567853;0,225;0;0,8;0;1
117;8,881042;20170227T180918;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.004,1.126,-0.007);0,0004563855;0,225;0;0,8;0;1
118;8,965342;20170227T180918;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.004,1.126,-0.007);0,0002431037;0,225;0;0,8;0;1
119;9,082103;20170227T180918;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.004,1.126,-0.006);0,0001294945;0,225;0;0,8;0;1
120;9,182669;20170227T180918;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.004,1.126,-0.005);6,897812E-05;0,225;0;0,8;0;1
121;9,249568;20170227T180918;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.004,1.126,-0.004);3,674271E-05;0,225;0;0,8;0;1
122;9,299843;20170227T180918;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.004,1.125,-0.004);1,957181E-05;0,45;0;0,8;0;1
123;9,402972;20170227T180918;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.004,1.125,-0.004);1,042535E-05;0,225;0;0,8;0;1
124;9,4857;20170227T180919;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.004,1.125,-0.004);5,553294E-06;0,225;0;0,8;0;1
125;9,568735;20170227T180919;60,00002;0;Estacionario;(0.007,1.650,-0.020);(0.004,1.125,-0.004);0,010347;0,225;0;0,8;0;1
126;9,602149;20170227T180919;60,00002;0;Estacionario;(0.006,1.650,-0.020);(0.004,1.125,-0.003);0,01504816;0,225;0;0,8;0;1
127;9,702383;20170227T180919;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.004,1.126,-0.003);0,008015735;0,225;0;0,8;0;1
128;9,769478;20170227T180919;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.004,1.125,-0.003);0,004269757;0,225;0;0,8;0;1
129;9,837764;20170227T180919;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.005,1.123,-0.001);0,00227438;0,225;0;0,8;0;1
130;9,907411;20170227T180919;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.006,1.121,0.000);0,001211498;0,225;0;0,8;0;1
131;10,08858;20170227T180919;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.006,1.120,0.001);0,0006453312;0,225;0;0,8;0;1
132;10,206933;20170227T180919;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.007,1.119,0.002);0,0003437499;0,225;0;0,8;0;1
133;10,288891;20170227T180919;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.008,1.119,0.003);0,0001831059;0,225;0;0,8;0;1
134;10,39053;20170227T180919;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.007,1.119,0.003);9,753538E-05;0,225;0;0,8;0;1
135;10,426639;20170227T180920;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.007,1.120,0.002);5,195436E-05;0,225;0;0,8;0;1
136;10,507498;20170227T180920;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.007,1.120,0.002);2,767463E-05;0,45;0;0,8;0;1
137;10,592215;20170227T180920;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.007,1.122,0.001);1,47415E-05;0,225;0;0,8;0;1
138;10,624406;20170227T180920;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.007,1.123,0.001);7,852384E-06;0,225;0;0,8;0;1
139;10,708123;20170227T180920;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.007,1.124,0.001);4,182744E-06;0,225;0;0,8;0;1
140;10,741881;20170227T180920;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.007,1.125,0.000);2,228031E-06;0,225;0;0,8;0;1
141;10,909024;20170227T180920;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.007,1.126,0.001);1,186809E-06;0,225;0;0,8;0;1
142;10,944884;20170227T180920;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.007,1.126,0.002);6,321801E-07;0,225;0;0,8;0;1
143;10,992764;20170227T180920;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.007,1.126,0.003);3,367446E-07;0,225;0;0,8;0;1
144;11,110078;20170227T180920;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.007,1.126,0.005);1,793744E-07;0,225;0;0,8;0;1
145;11,143491;20170227T180920;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.007,1.126,0.007);9,554772E-08;0,225;0;0,8;0;1
146;11,227637;20170227T180920;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.007,1.126,0.008);5,089559E-08;0,225;0;0,8;0;1
147;11,32858;20170227T180920;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.006,1.126,0.009);2,711065E-08;0,225;0;0,8;0;1
148;11,39474;20170227T180920;60,00002;0;Estacionario;(0.006,1.650,-0.019);(0.005,1.127,0.008);0,02143909;0,225;0;0,8;0;1
149;11,431136;20170227T180921;60,00002;0;Estacionario;(0.006,1.650,-0.018);(0.004,1.127,0.007);0,01142;0,225;0;0,8;0;1
150;11,530324;20170227T180921;60,00002;0;Estacionario;(0.006,1.650,-0.018);(0.004,1.127,0.007);0,006083115;0,225;0;0,8;0;1
151;11,630721;20170227T180921;60,00002;0;Estacionario;(0.006,1.650,-0.018);(0.003,1.127,0.006);0,01251223;0,225;0;0,8;0;1
152;11,662654;20170227T180921;60,00002;0;Estacionario;(0.005,1.650,-0.018);(0.002,1.127,0.004);0,006664914;0,45;0;0,8;0;1
153;11,730697;20170227T180921;60,00002;0;Estacionario;(0.005,1.650,-0.018);(0.002,1.128,0.004);0,003550212;0,225;0;0,8;0;1
154;11,83476;20170227T180921;60,00002;0;Estacionario;(0.005,1.650,-0.018);(0.001,1.128,0.003);0,001891099;0,225;0;0,8;0;1
155;11,864358;20170227T180921;60,00002;0;Estacionario;(0.005,1.650,-0.018);(0.000,1.128,0.001);0,001007335;0,225;0;0,8;0;1
156;11,950804;20170227T180921;60,00002;0;Estacionario;(0.005,1.650,-0.018);(0.000,1.128,0.000);0,2958779;0,225;0;0,8;0;1
157;12,032892;20170227T180921;60,00002;0;Direct;(0.008,1.650,-0.056);(0.002,1.109,-0.031);0,9377144;0;0;0,8;0;1
158;12,0689;20170227T180921;60,00002;0;Direct;(0.015,1.650,-0.129);(0.008,1.071,-0.090);1,479669;0;0;0,8;0;1
159;12,132761;20170227T180921;60,00002;0;Direct;(0.021,1.650,-0.193);(0.015,1.036,-0.143);2,164386;0;0;0,8;0;1
160;12,233175;20170227T180921;60,00002;0;Direct;(0.025,1.650,-0.230);(0.019,1.015,-0.173);2,188269;0;0;0,8;0;1
161;12,267307;20170227T180921;60,00002;0;Direct;(0.029,1.650,-0.275);(0.025,0.990,-0.211);1,995233;0;0;0,8;0;1
162;12,368147;20170227T180921;60,00002;0;Direct;(0.033,1.650,-0.308);(0.029,0.972,-0.237);1,723338;0;0;0,8;0;1
163;12,434227;20170227T180922;60,00002;0;Direct;(0.035,1.650,-0.329);(0.031,0.961,-0.253);1,529712;0;0;0,8;0;1
164;12,534917;20170227T180922;60,00002;0;Direct;(0.037,1.650,-0.339);(0.030,0.957,-0.259);1,14888;0;0;0,8;0;1
166;12,668796;20170227T180922;60,00002;0;Estacionario;(0.037,1.650,-0.337);(0.026,0.962,-0.252);0,5358847;0,375;0;0,8;0;1
167;12,852957;20170227T180922;60,00002;0;Direct;(0.036,1.650,-0.329);(0.023,0.969,-0.242);1,965739;0;0;0,8;0;1
168;12,887248;20170227T180922;60,00002;0;Direct;(0.018,1.650,-0.191);(0.012,1.041,-0.133);2,289956;0;0;0,8;0;1
169;13,088068;20170227T180922;60,00002;0;Direct;(0.007,1.650,-0.114);(0.004,1.079,-0.073);3,430763;0;0;0,8;0;1
170;13,255279;20170227T180922;60,00002;0;Direct;(-0.019,1.650,0.035);(-0.012,1.151,0.040);2,909601;0;0;0,8;0;1
171;13,288595;20170227T180922;60,00002;0;Direct;(-0.024,1.650,0.064);(-0.015,1.164,0.062);2,169626;0;0;0,8;0;1
172;13,389292;20170227T180922;60,00002;0;Direct;(-0.025,1.650,0.068);(-0.016,1.165,0.064);1,625747;0;0;0,8;0;1
173;13,557274;20170227T180923;60,00002;0;Direct;(-0.025,1.650,0.064);(-0.016,1.163,0.061);1,487406;0;0;0,8;0;1
174;13,590286;20170227T180923;60,00002;0;Direct;(-0.022,1.650,0.043);(-0.013,1.153,0.045);1,246009;0;0;0,8;0;1
175;13,691303;20170227T180923;60,00002;0;Direct;(-0.020,1.650,0.029);(-0.010,1.146,0.036);1,068749;0;0;0,8;0;1
176;13,775631;20170227T180923;60,00002;0;Direct;(-0.017,1.650,0.016);(-0.008,1.140,0.026);0,9258815;0;0;0,8;0;1
177;13,859667;20170227T180923;60,00002;0;Direct;(-0.015,1.650,0.003);(-0.006,1.134,0.017);0,8176748;0;0;0,8;0;1
178;13,892901;20170227T180923;60,00002;0;Estacionario;(-0.013,1.650,-0.007);(-0.004,1.129,0.009);0,5093269;0,4854766;0;0,8;0;1
179;13,992392;20170227T180923;60,00002;0;Estacionario;(-0.011,1.650,-0.015);(-0.003,1.125,0.003);0,3168732;0,3857701;0;0,8;0;1
180;14,080201;20170227T180923;60,00002;0;Estacionario;(-0.010,1.650,-0.020);(-0.003,1.122,-0.001);0,202239;0,3857701;0;0,8;0;1
181;14,110469;20170227T180923;60,00002;0;Estacionario;(-0.009,1.650,-0.024);(-0.002,1.120,-0.004);0,1348367;0,3857701;0;0,8;0;1
182;14,194025;20170227T180923;60,00002;0;Estacionario;(-0.008,1.650,-0.026);(-0.002,1.119,-0.006);0,07182372;0,3857701;0;0,8;0;1
183;14,294764;20170227T180923;60,00002;0;Estacionario;(-0.008,1.650,-0.026);(-0.002,1.119,-0.007);0,05398578;0,3857701;0;0,8;0;1
184;14,327281;20170227T180923;60,00002;0;Estacionario;(-0.006,1.650,-0.026);(-0.001,1.118,-0.006);0,05212471;0,3857701;0;0,8;0;1
185;14,411577;20170227T180923;60,00002;0;Estacionario;(-0.005,1.650,-0.024);(-0.001,1.118,-0.004);0,03989167;0,3857701;0;0,8;0;1
186;14,495808;20170227T180924;60,00002;0;Estacionario;(-0.004,1.650,-0.023);(0.000,1.118,-0.002);0,03945473;0,3857701;0;0,8;0;1
187;14,596426;20170227T180924;60,00002;0;Estacionario;(-0.003,1.650,-0.021);(0.000,1.119,0.001);0,03747388;0,3857701;0;0,8;0;1
189;14,712722;20170227T180924;60,00002;0;Estacionario;(-0.001,1.650,-0.017);(0.001,1.120,0.005);0,02979985;0,3857701;0;0,8;0;1
