Registo;Tempo Absoluto (Segundos);Tempo;FPS;Delta;Estado;Player Position (Real);Camera Position (Real);Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Num Colicoes (Objectos do Mundo Virtual);Num Embates (Indicadores de Obstaculos)
0;0,004901;20170227T180909;315,7895;0;Estacionario;(0.000,1.650,0.000);(0.000,1.650,0.081);0;0,45;0;0,8;0;0
1;0,091637;20170227T180909;221,4022;0;Estacionario;(0.000,1.650,0.000);(0.000,1.136,0.000);0,09385248;0,2469999;0;0,8;0;0
2;0,151565;20170227T180909;146,5166;0;Estacionario;(0.002,1.650,-0.019);(0.002,1.123,-0.014);0,3757227;0,2469999;0;0,8;0;1
3;0,201275;20170227T180909;128,0522;0;Estacionario;(-0.002,1.650,0.016);(-0.004,1.145,0.014);0,2721513;0,2469999;0;0,8;0;1
4;0,268469;20170227T180909;105,3495;0;Estacionario;(-0.001,1.650,0.006);(-0.001,1.139,0.005);0,1900705;0,2469999;0;0,8;0;1
5;0,369065;20170227T180909;83,61548;0;Estacionario;(0.000,1.650,0.000);(0.000,1.136,0.000);0,1816877;0,2469999;0;0,8;0;1
6;0,40221;20170227T180909;80,44907;0;Estacionario;(0.001,1.650,-0.011);(0.001,1.129,-0.009);0,1299066;0,2469999;0;0,8;0;1
7;0,469924;20170227T180910;73,64692;0;Estacionario;(0.002,1.650,-0.015);(0.002,1.125,-0.012);0,1007603;0,2469999;0;0,8;0;1
8;0,57389;20170227T180910;67,37174;0;Direct;(0.002,1.650,-0.019);(0.002,1.123,-0.014);1,626966;0;0;0,8;0;1
9;0,603621;20170227T180910;66,55405;0;Direct;(0.014,1.650,-0.173);(0.000,1.058,-0.111);1,632417;0;0;0,8;0;1
10;0,670374;20170227T180910;64,64053;0;Direct;(0.011,1.650,-0.139);(-0.001,1.074,-0.088);1,424542;0;0;0,8;0;1
11;0,772035;20170227T180910;62,65606;0;Direct;(0.009,1.650,-0.116);(-0.001,1.085,-0.072);1,368371;0;0;0,8;0;1
12;0,804395;20170227T180910;62,37991;0;Direct;(0.005,1.650,-0.082);(-0.001,1.100,-0.049);1,340603;0;0;0,8;0;1
13;0,872343;20170227T180910;61,91331;0;Direct;(0.003,1.650,-0.052);(-0.001,1.114,-0.030);1,149912;0;0;0,8;0;1
14;0,956152;20170227T180910;61,2417;0;Direct;(0.001,1.650,-0.035);(-0.002,1.122,-0.019);1,37482;0;0;0,8;0;1
15;0,989047;20170227T180910;61,11523;0;Direct;(-0.001,1.650,-0.015);(-0.002,1.132,-0.005);1,653433;0;0;0,8;0;1
16;1,092221;20170227T180910;60,65355;0;Direct;(0.003,1.650,-0.066);(-0.002,1.109,-0.040);2,392526;0;0;0,8;0;1
17;1,1733;20170227T180910;60,47503;0;Direct;(0.007,1.650,-0.109);(-0.002,1.089,-0.068);2,358697;0;0;0,8;0;1
