Registo;Name;Position Object;Position Player;State;Time
0;Parede 02;(-5.000,2.500,-10.000);(-4.161,1.650,-5.962);Estacionario;20170126T142741
1;Parede 02;(-5.000,2.500,-10.000);(-4.797,1.650,-6.917);Direct;20170126T142845
