Registo;Tempo Absoluto (Segundos);Tempo;Metodo;Is Inside;Raio Embate;Indicator (Indicator Limit 0) Name;Indicator (Indicator Limit 0) Distance;Indicator (Indicator Limit 0) Embate;Indicator (Indicator Limit 0) Count Embate;Indicator (Indicator Limit 1) Name;Indicator (Indicator Limit 1) Distance;Indicator (Indicator Limit 1) Embate;Indicator (Indicator Limit 1) Count Embate;Indicator (Indicator Limit 2) Name;Indicator (Indicator Limit 2) Distance;Indicator (Indicator Limit 2) Embate;Indicator (Indicator Limit 2) Count Embate;Indicator (Indicator Limit 3) Name;Indicator (Indicator Limit 3) Distance;Indicator (Indicator Limit 3) Embate;Indicator (Indicator Limit 3) Count Embate;Indicator (Indicator Obstacle 4) Name;Indicator (Indicator Obstacle 4) Distance;Indicator (Indicator Obstacle 4) Embate;Indicator (Indicator Obstacle 4) Count Embate;Indicator (Indicator Obstacle 5) Name;Indicator (Indicator Obstacle 5) Distance;Indicator (Indicator Obstacle 5) Embate;Indicator (Indicator Obstacle 5) Count Embate;Total Embate
4209;156,647596;20170126T164737;Passthrough;True;0,1;Indicator Limit 0;1,464004;False;0;Indicator Limit 1;1,535996;False;0;Indicator Limit 2;1,321;False;0;Indicator Limit 3;1,679;False;0;Indicator Obstacle 4;0,6039616;False;3;Indicator Obstacle 5;0,9284011;False;1;4
4210;156,681705;20170126T164737;Passthrough;True;0,1;Indicator Limit 0;1,464004;False;0;Indicator Limit 1;1,535996;False;0;Indicator Limit 2;1,321;False;0;Indicator Limit 3;1,679;False;0;Indicator Obstacle 4;0,6039616;False;3;Indicator Obstacle 5;0,9284011;False;1;4
4211;156,714824;20170126T164738;Passthrough;True;0,1;Indicator Limit 0;1,464004;False;0;Indicator Limit 1;1,535996;False;0;Indicator Limit 2;1,321;False;0;Indicator Limit 3;1,679;False;0;Indicator Obstacle 4;0,6039616;False;3;Indicator Obstacle 5;0,9284011;False;1;4
4212;156,747838;20170126T164738;Passthrough;True;0,1;Indicator Limit 0;1,464004;False;0;Indicator Limit 1;1,535996;False;0;Indicator Limit 2;1,321;False;0;Indicator Limit 3;1,679;False;0;Indicator Obstacle 4;0,6039616;False;3;Indicator Obstacle 5;0,9284011;False;1;4
4213;156,782257;20170126T164738;Passthrough;True;0,1;Indicator Limit 0;1,464004;False;0;Indicator Limit 1;1,535996;False;0;Indicator Limit 2;1,321;False;0;Indicator Limit 3;1,679;False;0;Indicator Obstacle 4;0,6039616;False;3;Indicator Obstacle 5;0,9284011;False;1;4
4214;156,828494;20170126T164738;Passthrough;True;0,1;Indicator Limit 0;1,464004;False;0;Indicator Limit 1;1,535996;False;0;Indicator Limit 2;1,321;False;0;Indicator Limit 3;1,679;False;0;Indicator Obstacle 4;0,6039616;False;3;Indicator Obstacle 5;0,9284011;False;1;4
4215;156,87431;20170126T164738;Passthrough;True;0,1;Indicator Limit 0;1,464004;False;0;Indicator Limit 1;1,535996;False;0;Indicator Limit 2;1,321;False;0;Indicator Limit 3;1,679;False;0;Indicator Obstacle 4;0,6039616;False;3;Indicator Obstacle 5;0,9284011;False;1;4
4216;156,916621;20170126T164738;Passthrough;True;0,1;Indicator Limit 0;1,464004;False;0;Indicator Limit 1;1,535996;False;0;Indicator Limit 2;1,321;False;0;Indicator Limit 3;1,679;False;0;Indicator Obstacle 4;0,6039616;False;3;Indicator Obstacle 5;0,9284011;False;1;4
4217;156,949799;20170126T164738;Passthrough;True;0,1;Indicator Limit 0;1,464004;False;0;Indicator Limit 1;1,535996;False;0;Indicator Limit 2;1,321;False;0;Indicator Limit 3;1,679;False;0;Indicator Obstacle 4;0,6039616;False;3;Indicator Obstacle 5;0,9284011;False;1;4
4218;156,979772;20170126T164738;Passthrough;True;0,1;Indicator Limit 0;1,464004;False;0;Indicator Limit 1;1,535996;False;0;Indicator Limit 2;1,321;False;0;Indicator Limit 3;1,679;False;0;Indicator Obstacle 4;0,6039616;False;3;Indicator Obstacle 5;0,9284011;False;1;4
