Registo;Tempo Absoluto (Segundos);Tempo;Metodo;Is Inside;Raio Embate;Indicator (Indicator Limit 0) Name;Indicator (Indicator Limit 0) Distance;Indicator (Indicator Limit 0) Embate;Indicator (Indicator Limit 0) Count Embate;Indicator (Indicator Limit 1) Name;Indicator (Indicator Limit 1) Distance;Indicator (Indicator Limit 1) Embate;Indicator (Indicator Limit 1) Count Embate;Indicator (Indicator Limit 2) Name;Indicator (Indicator Limit 2) Distance;Indicator (Indicator Limit 2) Embate;Indicator (Indicator Limit 2) Count Embate;Indicator (Indicator Limit 3) Name;Indicator (Indicator Limit 3) Distance;Indicator (Indicator Limit 3) Embate;Indicator (Indicator Limit 3) Count Embate;Indicator (Indicator Obstacle 4) Name;Indicator (Indicator Obstacle 4) Distance;Indicator (Indicator Obstacle 4) Embate;Indicator (Indicator Obstacle 4) Count Embate;Indicator (Indicator Obstacle 5) Name;Indicator (Indicator Obstacle 5) Distance;Indicator (Indicator Obstacle 5) Embate;Indicator (Indicator Obstacle 5) Count Embate;Total Embate
0;0,027276;20170201T122559;Passthrough;False;0,1;Indicator Limit 0;1,5;False;0;Indicator Limit 1;1,5;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041594;False;0;Indicator Obstacle 5;0,7727922;False;0;0
1;0,665708;20170201T122600;Passthrough;True;0,1;Indicator Limit 0;1,5;False;0;Indicator Limit 1;1,5;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041594;False;0;Indicator Obstacle 5;0,7727922;False;0;0
2;0,806852;20170201T122600;Passthrough;True;0,1;Indicator Limit 0;1,5;False;0;Indicator Limit 1;1,5;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041594;False;0;Indicator Obstacle 5;0,7727922;False;0;0
3;1,056809;20170201T122600;Passthrough;True;0,1;Indicator Limit 0;1,5;False;0;Indicator Limit 1;1,5;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041594;False;0;Indicator Obstacle 5;0,7727922;False;0;0
4;1,366408;20170201T122600;Passthrough;True;0,1;Indicator Limit 0;1,499998;False;0;Indicator Limit 1;1,500002;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041606;False;0;Indicator Obstacle 5;0,7727933;False;0;0
6;1,874962;20170201T122601;Passthrough;True;0,1;Indicator Limit 0;1,499999;False;0;Indicator Limit 1;1,500001;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041602;False;0;Indicator Obstacle 5;0,7727929;False;0;0
7;2,115432;20170201T122601;Passthrough;True;0,1;Indicator Limit 0;1,500001;False;0;Indicator Limit 1;1,499999;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,704159;False;0;Indicator Obstacle 5;0,7727917;False;0;0
10;2,855582;20170201T122602;Passthrough;True;0,1;Indicator Limit 0;1,500001;False;0;Indicator Limit 1;1,499999;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,704159;False;0;Indicator Obstacle 5;0,7727917;False;0;0
11;3,107289;20170201T122602;Passthrough;True;0,1;Indicator Limit 0;1,500001;False;0;Indicator Limit 1;1,499999;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041587;False;0;Indicator Obstacle 5;0,7727913;False;0;0
12;3,371148;20170201T122602;Passthrough;True;0,1;Indicator Limit 0;1,499998;False;0;Indicator Limit 1;1,500002;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041605;False;0;Indicator Obstacle 5;0,7727933;False;0;0
13;3,611144;20170201T122603;Passthrough;True;0,1;Indicator Limit 0;1,5;False;0;Indicator Limit 1;1,5;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041597;False;0;Indicator Obstacle 5;0,7727925;False;0;0
14;3,849808;20170201T122603;Passthrough;True;0,1;Indicator Limit 0;1,500002;False;0;Indicator Limit 1;1,499998;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041583;False;0;Indicator Obstacle 5;0,772791;False;0;0
15;4,06838;20170201T122603;Passthrough;True;0,1;Indicator Limit 0;1,499998;False;0;Indicator Limit 1;1,500002;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041606;False;0;Indicator Obstacle 5;0,7727933;False;0;0
16;4,286109;20170201T122603;Passthrough;True;0,1;Indicator Limit 0;1,500003;False;0;Indicator Limit 1;1,499997;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041576;False;0;Indicator Obstacle 5;0,7727902;False;0;0
17;4,513032;20170201T122604;Passthrough;True;0,1;Indicator Limit 0;1,5;False;0;Indicator Limit 1;1,5;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041597;False;0;Indicator Obstacle 5;0,7727925;False;0;0
18;4,749798;20170201T122604;Passthrough;True;0,1;Indicator Limit 0;1,5;False;0;Indicator Limit 1;1,5;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041597;False;0;Indicator Obstacle 5;0,7727925;False;0;0
19;4,990348;20170201T122604;Passthrough;True;0,1;Indicator Limit 0;1,5;False;0;Indicator Limit 1;1,5;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041597;False;0;Indicator Obstacle 5;0,7727925;False;0;0
20;5,24514;20170201T122604;Passthrough;True;0,1;Indicator Limit 0;1,5;False;0;Indicator Limit 1;1,5;False;0;Indicator Limit 2;1,5;False;0;Indicator Limit 3;1,5;False;0;Indicator Obstacle 4;0,7041597;False;0;Indicator Obstacle 5;0,7727925;False;0;0
