Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Num Embates (Indicadores de Obstaculos);Raio Embate;Raio Perigo;Raio Aviso;Raio Pre-Aviso;Indicator (Indicator Limit 0) Distance;Indicator (Indicator Limit 0) State;Indicator (Indicator Limit 0) Count Embate;Indicator (Indicator Limit 1) Distance;Indicator (Indicator Limit 1) State;Indicator (Indicator Limit 1) Count Embate;Indicator (Indicator Limit 2) Distance;Indicator (Indicator Limit 2) State;Indicator (Indicator Limit 2) Count Embate;Indicator (Indicator Limit 3) Distance;Indicator (Indicator Limit 3) State;Indicator (Indicator Limit 3) Count Embate;Indicator (Indicator Obstacle 4) Distance;Indicator (Indicator Obstacle 4) State;Indicator (Indicator Obstacle 4) Count Embate;Indicator (Indicator Obstacle 5) Distance;Indicator (Indicator Obstacle 5) State;Indicator (Indicator Obstacle 5) Count Embate;Total Embate (via dist indicadores);Id;Iniciado;Extra
0;2;01_Sc_CWIP_AVR_Inicio;AVR;0,001495;0,117944;20170324T133016;60,00002;0;WIP;(-0.051,1.650,-0.028);(-0.066,1.650,-0.036);(-0.062,1.038,-0.017);(1.997,0.687,-0.753);(1.997,0.687,-0.753);(20.266,0.500,-20.000);0,01699947;0;0,01699947;0;0;0;0;0;28,48967;0;28,48967;0;0,09090935;0,1737849;0;0,8;False;0;Unknown;Unknown;0;0;0,1;0,4;0,8;1,2;0,4859999;Warning;0;3,486;Normal;0;2,309;Normal;0;0,691;Warning;0;2,854053;Normal;0;2,387434;Normal;0;0;1;True;Reset Human
1;2;01_Sc_CWIP_AVR_Inicio;AVR;0,066885;0,06539;20170324T133016;60,00002;0,097373;WIP;(-0.079,1.650,-0.033);(-0.051,1.650,-0.028);(-0.094,1.010,-0.025);(1.993,0.696,-0.755);(1.997,0.687,-0.753);(20.266,0.500,-20.000);0,02826987;0;0,02826987;0;0,004472078;0;0,004472078;0;28,50616;0;28,50616;0;0,1048833;0,1737849;0,01692196;0,8;False;0;Unknown;Unknown;0;0;0,1;0,4;0,8;1,2;0,4949999;Warning;0;3,495;Normal;0;2,303;Normal;0;0,697;Warning;0;2,858755;Normal;0;2,396625;Normal;0;0;1;True;NULL
2;2;01_Sc_CWIP_AVR_Inicio;AVR;0,15096;0,084075;20170324T133016;60,00002;0,098538;Estacionario;(-0.135,1.650,-0.040);(-0.079,1.650,-0.033);(-0.150,1.020,-0.030);(1.993,0.696,-0.755);(1.993,0.696,-0.755);(20.266,0.500,-20.000);0,05643445;0;0;0,05643445;0;0;0;0;28,54094;0;0;28,54094;0,05586839;0,1737849;0,01712442;0,8;False;0;Unknown;Unknown;0;0;0,1;0,4;0,8;1,2;0,4909999;Warning;0;3,491;Normal;0;2,305;Normal;0;0,695;Warning;0;2,856323;Normal;0;2,39256;Normal;0;0;1;True;NULL
3;2;01_Sc_CWIP_AVR_Inicio;AVR;0,268125;0,117165;20170324T133016;60,00002;0,098538;Estacionario;(-0.135,1.650,-0.040);(-0.135,1.650,-0.040);(-0.150,1.020,-0.030);(1.985,0.715,-0.760);(1.993,0.696,-0.755);(20.266,0.500,-20.000);0;0;0;0;0,009433992;0;0;0,009433992;28,54094;0;0;28,54094;0,10141;0,1737849;0,01712442;0,8;False;0;Unknown;Unknown;0;0;0,1;0,4;0,8;1,2;0,4909999;Warning;0;3,491;Normal;0;2,305;Normal;0;0,695;Warning;0;2,856323;Normal;0;2,39256;Normal;0;0;1;True;NULL
4;2;01_Sc_CWIP_AVR_Inicio;AVR;0,369432;0,101307;20170324T133016;60,00002;0,098538;Estacionario;(-0.143,1.650,-0.045);(-0.135,1.650,-0.040);(-0.135,1.044,-0.029);(1.985,0.715,-0.760);(1.985,0.715,-0.760);(20.266,0.500,-20.000);0,009436722;0;0;0,009436722;0;0;0;0;28,54316;0;0;28,54316;0,05401825;0,1737849;0,01712442;0,8;False;0;Unknown;Unknown;0;0;0,1;0,4;0,8;1,2;0,4829999;Warning;0;3,483;Normal;0;2,31;Normal;0;0,69;Warning;0;2,851983;Normal;0;2,384404;Normal;0;0;1;True;NULL
7;2;01_Sc_CWIP_AVR_Inicio;AVR;0,55326;0,067575;20170324T133016;60,00002;0,098538;Estacionario;(-0.140,1.650,-0.037);(-0.139,1.650,-0.039);(-0.126,1.040,-0.029);(1.985,0.717,-0.748);(1.988,0.712,-0.752);(20.266,0.500,-20.000);0,002235853;0;0;0,002235853;0,004999971;0;0;0,004999971;28,54661;0;0;28,54661;0,1103796;0,1737849;0,01712442;0,8;False;0;Unknown;Unknown;0;0;0,1;0,4;0,8;1,2;0,4859999;Warning;0;3,486;Normal;0;2,302;Normal;0;0,698;Warning;0;2,850492;Normal;0;2,387663;Normal;0;0;1;True;NULL
9;2;01_Sc_CWIP_AVR_Inicio;AVR;0,620333;0,033332;20170324T133016;60,00002;0,098538;Estacionario;(-0.124,1.650,-0.027);(-0.143,1.650,-0.033);(-0.115,0.998,-0.031);(2.013,0.650,-0.738);(2.004,0.674,-0.742);(20.266,0.500,-20.000);0,01992583;0;0;0,01992583;0,009848919;0;0;0,009848919;28,54217;0;0;28,54217;0,1817953;0,1737849;0,01712442;0,8;False;0;Unknown;Unknown;0;0;0,1;0,4;0,8;1,2;0,4829999;Warning;0;3,483;Normal;0;2,298;Normal;0;0,702;Warning;0;2,845877;Normal;0;2,384804;Normal;0;0;1;True;NULL
10;2;01_Sc_CWIP_AVR_Inicio;AVR;0,637593;0,01726;20170324T133016;60,00002;0,098538;Estacionario;(-0.115,1.650,-0.023);(-0.124,1.650,-0.027);(-0.108,0.973,-0.029);(2.009,0.661,-0.741);(2.013,0.650,-0.738);(20.266,0.500,-20.000);0,009847829;0;0;0,009847829;0,004999971;0;0;0,004999971;28,53854;0;0;28,53854;0,1734143;0;0;0,8;False;0;Unknown;Unknown;0;0;0,1;0,4;0,8;1,2;0,5019999;Warning;0;3,502;Normal;0;2,292;Normal;0;0,708;Warning;0;2,859236;Normal;0;2,404009;Normal;0;0;1;True;NULL
12;2;01_Sc_CWIP_AVR_Inicio;AVR;0,871479;0,100683;20170324T133016;60,00002;0,098538;Estacionario;(-0.125,1.650,-0.030);(-0.119,1.650,-0.026);(-0.112,0.999,-0.038);(1.999,0.682,-0.748);(2.003,0.674,-0.745);(20.266,0.500,-20.000);0,007211538;0;0;0,007211538;0,005000066;0;0;0,005000066;28,54079;0;0;28,54079;0,1708325;0;0;0,8;False;0;Unknown;Unknown;0;0;0,1;0,4;0,8;1,2;0,5009999;Warning;0;3,501;Normal;0;2,295;Normal;0;0,705;Warning;0;2,859885;Normal;0;2,402899;Normal;0;0;1;True;NULL
13;2;01_Sc_CWIP_AVR_Inicio;AVR;0,905036;0,033557;20170324T133017;60,00002;0,098538;Estacionario;(-0.129,1.650,-0.033);(-0.125,1.650,-0.030);(-0.116,1.010,-0.039);(1.994,0.696,-0.753);(1.999,0.682,-0.748);(20.266,0.500,-20.000);0,004998255;0;0;0,004998255;0,007071061;0;0;0,007071061;28,54154;0;0;28,54154;0,1474551;0;0;0,8;False;0;Unknown;Unknown;0;0;0,1;0,4;0,8;1,2;0,5009999;Warning;0;3,501;Normal;0;2,295;Normal;0;0,705;Warning;0;2,859885;Normal;0;2,402899;Normal;0;0;1;True;NULL
