Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra
0;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,044694;1,355817;20170327T130951;315,7895;0;Estacionario;(0.000,1.650,0.000);(0.000,1.650,0.000);(0.000,1.650,0.081);(-0.086,1.209,0.098);(-0.086,1.209,0.098);(20.253,0.500,-20.000);0;0;0;0;0;0;0;0;28,46373;0;0;28,46373;0;0,25;0;0,8;True;1;Open;Unknown;0;1;False;NULL
1;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,152341;0,107647;20170327T130951;221,4022;0;Estacionario;(0.000,1.650,0.000);(0.000,1.650,0.000);(0.000,1.627,0.000);(-0.086,1.210,0.101);(-0.086,1.209,0.098);(20.253,0.500,-20.000);0;0;0;0;0,003000006;0;0;0,003000006;28,46373;0;0;28,46373;0,01519578;0,1303764;0;0,8;True;1;Open;Unknown;0;1;False;NULL
2;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,232729;0,080388;20170327T130951;146,5166;0;Estacionario;(0.000,1.650,0.003);(0.000,1.650,0.000);(0.014,1.623,0.007);(-0.083,1.210,0.109);(-0.086,1.210,0.101);(20.253,0.500,-20.000);0,003000006;0;0;0,003000006;0,008544;0;0;0,008544;28,46584;0;0;28,46584;0,07257942;0,1303764;0;0,8;True;1;Open;Unknown;0;1;False;NULL
3;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,316673;0,083944;20170327T130951;105,3495;0;Estacionario;(0.003,1.650,0.011);(0.000,1.650,0.003);(0.031,1.623,0.033);(-0.083,1.211,0.114);(-0.083,1.210,0.109);(20.253,0.500,-20.000);0,00854342;0;0;0,00854342;0,005000003;0;0;0,005000003;28,46933;0;0;28,46933;0,07295807;0,1303764;0;0,8;True;1;Open;Unknown;0;1;False;NULL
4;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,430004;0,113331;20170327T130951;80,44907;0;Estacionario;(0.003,1.650,0.016);(0.003,1.650,0.011);(0.036,1.622,0.040);(-0.084,1.214,0.119);(-0.083,1.211,0.114);(20.253,0.500,-20.000);0,005000003;0;0;0,005000003;0,005099022;0;0;0,005099022;28,47285;0;0;28,47285;0,07638621;0,1303764;0;0,8;True;1;Open;Unknown;0;1;False;NULL
5;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,513894;0,08389;20170327T130951;72,00908;0;Estacionario;(0.002,1.650,0.021);(0.003,1.650,0.016);(0.037,1.623,0.045);(-0.082,1.211,0.116);(-0.084,1.214,0.119);(20.253,0.500,-20.000);0,005098168;0;0;0,005098168;0,003605554;0;0;0,003605554;28,47707;0;0;28,47707;0,07215882;0,1303764;0;0,8;True;1;Open;Unknown;0;1;False;NULL
6;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,597384;0,08349;20170327T130951;67,37174;0;Estacionario;(0.004,1.650,0.018);(0.002,1.650,0.021);(0.032,1.621,0.041);(-0.084,1.219,0.125);(-0.082,1.211,0.116);(20.253,0.500,-20.000);0,003604947;0;0;0,003604947;0,009219547;0;0;0,009219547;28,47354;0;0;28,47354;0,212398;0,1303764;0;0,8;True;1;Open;Unknown;0;1;False;NULL
7;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,617491;0,020107;20170327T130951;66,55405;0;Estacionario;(0.002,1.650,0.027);(0.004,1.650,0.018);(0.033,1.625,0.052);(-0.083,1.215,0.122);(-0.084,1.219,0.125);(20.253,0.500,-20.000);0,009220137;0;0;0,009220137;0,003162277;0;0;0,003162277;28,48129;0;0;28,48129;0,1490455;0,1303764;0;0,8;True;1;Open;Unknown;0;1;False;NULL
8;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,701202;0,083711;20170327T130952;63,70439;0;Estacionario;(0.003,1.650,0.024);(0.002,1.650,0.027);(0.035,1.623,0.052);(-0.083,1.220,0.127);(-0.083,1.215,0.122);(20.253,0.500,-20.000);0,003162103;0;0;0,003162103;0,005000003;0;0;0,005000003;28,47847;0;0;28,47847;0,1336708;0,1303764;0;0,8;True;1;Open;Unknown;0;1;False;NULL
9;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,735842;0,03464;20170327T130952;63,31349;0;Estacionario;(0.003,1.650,0.029);(0.003,1.650,0.024);(0.030,1.625,0.054);(-0.082,1.219,0.129);(-0.083,1.220,0.127);(20.253,0.500,-20.000);0,005000004;0;0;0,005000004;0,002236056;0;0;0,002236056;28,48198;0;0;28,48198;0,08568342;0,1303764;0;0,8;True;1;Open;Unknown;0;1;False;NULL
10;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,818589;0,082747;20170327T130952;62,37991;0;Estacionario;(0.004,1.650,0.031);(0.003,1.650,0.029);(0.029,1.625,0.056);(-0.081,1.219,0.131);(-0.082,1.219,0.129);(20.253,0.500,-20.000);0,002235813;0;0;0,002235813;0,002236072;0;0;0,002236072;28,48268;0;0;28,48268;0,06343189;0,1303764;0;0,8;True;1;Open;Unknown;0;1;False;NULL
