Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra
2;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,136485;0,033498;20170327T131010;60,00002;0,03502;Direct;(0.200,1.650,-0.174);(0.199,1.650,-0.176);(0.225,1.625,-0.137);(0.015,1.198,-0.242);(0.075,1.215,-0.223);(20.253,0.500,-20.000);0,002235799;0,002235799;0;0;0,06293648;0,06293648;0;0;28,19939;28,19939;0;0;2,05315;0;0;0,8;False;0;Open;Unknown;0;1;True;NULL
4;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,306396;0,086162;20170327T131011;60,00002;0,03502;Direct;(0.197,1.650,-0.177);(0.140,1.650,-0.193);(0.216,1.629,-0.137);(0.069,1.218,-0.225);(0.072,1.217,-0.226);(20.253,0.500,-20.000);0,05920228;0,05920228;0;0;0,003162277;0,003162277;0;0;28,19942;28,19942;0;0;1,523864;0;0;0,8;False;0;Open;Unknown;0;1;True;NULL
5;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,337636;0,03124;20170327T131011;60,00002;0,03502;Direct;(0.194,1.650,-0.176);(0.197,1.650,-0.177);(0.212,1.628,-0.135);(0.067,1.218,-0.222);(0.069,1.218,-0.225);(20.253,0.500,-20.000);0,003164339;0,003164339;0;0;0,003605542;0,003605542;0;0;28,20226;28,20226;0;0;1,147801;0;0;0,8;False;0;Open;Unknown;0;1;True;NULL
6;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,422161;0,084525;20170327T131011;60,00002;0,03502;Direct;(0.192,1.650,-0.173);(0.194,1.650,-0.176);(0.208,1.632,-0.132);(0.052,1.208,-0.256);(0.067,1.218,-0.222);(20.253,0.500,-20.000);0,003604935;0,003604935;0;0;0,03716182;0,03716182;0;0;28,20579;28,20579;0;0;1,148295;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
7;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,45136;0,029199;20170327T131011;60,00002;0,03502;Direct;(0.177,1.650,-0.207);(0.192,1.650,-0.173);(0.209,1.626,-0.167);(0.075,1.215,-0.223);(0.052,1.208,-0.256);(20.253,0.500,-20.000);0,03716157;0,03716157;0;0;0,04022438;0,04022438;0;0;28,19257;28,19257;0;0;1,255888;0;0;0,8;False;0;Open;Unknown;0;1;True;NULL
8;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,502175;0,050815;20170327T131011;60,00002;0,03502;Direct;(0.200,1.650,-0.174);(0.177,1.650,-0.207);(0.225,1.625,-0.137);(0.072,1.217,-0.226);(0.075,1.215,-0.223);(20.253,0.500,-20.000);0,04022368;0,04022368;0;0;0,004242639;0,004242639;0;0;28,19939;28,19939;0;0;1,016036;0;0;0,8;False;0;Open;Unknown;0;1;True;NULL
9;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,522379;0,020204;20170327T131011;60,00002;0,03502;Estacionario;(0.197,1.650,-0.177);(0.200,1.650,-0.174);(0.216,1.629,-0.137);(0.069,1.218,-0.225);(0.072,1.217,-0.226);(20.253,0.500,-20.000);0,004241469;0;0;0,004241469;0,003162277;0;0;0,003162277;28,19942;0;0;28,19942;0,5774793;0,25;0,008755;0,8;True;1;Open;Unknown;0;1;True;NULL
11;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,619071;0,063323;20170327T131011;60,00002;0,03502;Estacionario;(0.192,1.650,-0.173);(0.194,1.650,-0.176);(0.208,1.632,-0.132);(0.058,1.229,-0.227);(0.067,1.218,-0.222);(20.253,0.500,-20.000);0,003604935;0;0;0,003604935;0,01029563;0;0;0,01029563;28,20579;0;0;28,20579;0,2515543;0,4632349;0,01622249;0,8;True;1;Open;Unknown;0;1;True;NULL
12;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,639505;0,020434;20170327T131011;60,00002;0,03502;Estacionario;(0.183,1.650,-0.178);(0.192,1.650,-0.173);(0.196,1.627,-0.134);(0.058,1.229,-0.227);(0.058,1.229,-0.227);(20.253,0.500,-20.000);0,01029464;0;0;0,01029464;0;0;0;0;28,20867;0;0;28,20867;0,1339959;0,4632349;0,01622249;0,8;True;1;Open;Unknown;0;1;True;NULL
13;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,702987;0,063482;20170327T131011;60,00002;0,03502;Direct;(0.183,1.650,-0.178);(0.183,1.650,-0.178);(0.196,1.627,-0.134);(0.008,1.212,-0.181);(0.058,1.229,-0.227);(20.253,0.500,-20.000);3,814697E-06;3,814697E-06;0;0;0,06794115;0,06794115;0;0;28,20867;28,20867;0;0;1,424196;0;0;0,8;True;1;Open;Unknown;0;1;True;NULL
