Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra
0;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,045057;1,37419;20170327T130750;315,7895;0;Estacionario;(0.000,1.650,0.000);(0.000,1.650,0.000);(0.000,1.650,0.081);(1.942,0.787,-0.615);(1.942,0.787,-0.615);(20.253,0.500,-20.000);0;0;0;0;0;0;0;0;28,46373;0;0;28,46373;0;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
1;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,172377;0,12732;20170327T130750;221,4022;0;Estacionario;(0.000,1.650,0.000);(0.000,1.650,0.000);(0.000,1.105,0.000);(1.936,0.788,-0.617);(1.942,0.787,-0.615);(20.253,0.500,-20.000);0;0;0;0;0,006324587;0;0;0,006324587;28,46373;0;0;28,46373;0,02399039;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
2;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,205911;0,033534;20170327T130750;174,4693;0;Estacionario;(-0.006,1.650,-0.002);(0.000,1.650,0.000);(-0.004,1.113,-0.002);(1.994,0.778,-0.605);(1.936,0.788,-0.617);(20.253,0.500,-20.000);0,006325039;0;0;0,006325039;0,05922833;0;0;0,05922833;28,4666;0;0;28,4666;0,5159441;0,25;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
3;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,235024;0,029113;20170327T130750;146,5166;0;Direct;(0.052,1.650,0.010);(-0.006,1.650,-0.002);(0.011,1.090,0.009);(2.036,0.769,-0.587);(1.994,0.778,-0.605);(20.253,0.500,-20.000);0,05923079;0,05923079;0;0;0,04569469;0,04569469;0;0;28,43379;28,43379;0;0;0,9101283;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
4;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,287015;0,051991;20170327T130750;115,0079;0;Direct;(0.094,1.650,0.028);(0.052,1.650,0.010);(0.040,1.057,0.022);(2.007,0.776,-0.603);(2.036,0.769,-0.587);(20.253,0.500,-20.000);0,04569447;0,04569447;0;0;0,03312102;0,03312102;0;0;28,41665;28,41665;0;0;1,098014;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
5;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,315749;0,028734;20170327T130750;105,3495;0;Direct;(0.065,1.650,0.012);(0.094,1.650,0.028);(0.013,1.082,0.012);(2.003,0.775,-0.597);(2.007,0.776,-0.603);(20.253,0.500,-20.000);0,03312373;0,03312373;0;0;0,007211059;0,007211059;0;0;28,42597;28,42597;0;0;0,8788064;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
6;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,40203;0,086281;20170327T130750;83,61548;0;Direct;(0.061,1.650,0.018);(0.065,1.650,0.012);(0.025,1.074,0.014);(1.932,0.789,-0.618);(2.003,0.775,-0.597);(20.253,0.500,-20.000);0,007209869;0,007209869;0;0;0,0740405;0,0740405;0;0;28,43303;28,43303;0;0;1,394827;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
7;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,484225;0,082195;20170327T130750;75,55639;0;Direct;(-0.010,1.650,-0.003);(0.061,1.650,0.018);(-0.005,1.114,-0.003);(1.985,0.779,-0.603);(1.932,0.789,-0.618);(20.253,0.500,-20.000);0,0740397;0,0740397;0;0;0,05508173;0,05508173;0;0;28,46874;28,46874;0;0;1,523716;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
8;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,514187;0,029962;20170327T130750;73,64692;0;Direct;(0.043,1.650,0.012);(-0.010,1.650,-0.003);(0.016,1.084,0.010);(2.055,0.773,-0.595);(1.985,0.779,-0.603);(20.253,0.500,-20.000);0,05507943;0,05507943;0;0;0,07045571;0,07045571;0;0;28,44159;28,44159;0;0;1,869019;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
9;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,597367;0,08318;20170327T130750;68,30419;0;Direct;(0.113,1.650,0.020);(0.043,1.650,0.012);(0.028,1.084,0.029);(1.994,0.778,-0.605);(2.055,0.773,-0.595);(20.253,0.500,-20.000);0,07045535;0,07045535;0;0;0,06181434;0,06181434;0;0;28,39754;28,39754;0;0;1,961815;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
10;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,617859;0,020492;20170327T130750;67,37174;0;Direct;(0.052,1.650,0.010);(0.113,1.650,0.020);(0.011,1.090,0.009);(2.007,0.776,-0.603);(1.994,0.778,-0.605);(20.253,0.500,-20.000);0,06181128;0,06181128;0;0;0,01315296;0,01315296;0;0;28,43379;28,43379;0;0;1,632356;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
12;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,785413;0,103893;20170327T130750;62,96576;0;Direct;(0.198,1.650,0.038);(0.065,1.650,0.012);(0.058,1.064,0.060);(2.055,0.773,-0.595);(2.140,0.766,-0.577);(20.253,0.500,-20.000);0,1355132;0,1355132;0;0;0,08688502;0,08688502;0;0;28,35004;28,35004;0;0;4,638891;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
13;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,81867;0,033257;20170327T130750;62,65606;0;Direct;(0.113,1.650,0.020);(0.198,1.650,0.038);(0.028,1.084,0.029);(2.168,0.745,-0.587);(2.055,0.773,-0.595);(20.253,0.500,-20.000);0,08688036;0,08688036;0;0;0,1132827;0,1132827;0;0;28,39753;28,39753;0;0;4,417593;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
14;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,903689;0,085019;20170327T130751;61,7165;0;Direct;(0.226,1.650,0.028);(0.113,1.650,0.020);(0.090,1.023,0.051);(2.105,0.743,-0.597);(2.168,0.745,-0.587);(20.253,0.500,-20.000);0,1132818;0,1132818;0;0;0,06378867;0,06378867;0;0;28,32316;28,32316;0;0;3,92127;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
15;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,016439;0,11275;20170327T130751;61,11523;0;Direct;(0.163,1.650,0.018);(0.226,1.650,0.028);(0.080,1.028,0.024);(2.197,0.755,-0.557);(2.105,0.743,-0.597);(20.253,0.500,-20.000);0,06378844;0,06378844;0;0;0,1003195;0,1003195;0;0;28,36068;28,36068;0;0;3,847762;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
16;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,038275;0,021836;20170327T130751;61,00184;0;Direct;(0.255,1.650,0.058);(0.163,1.650,0.018);(0.074,1.001,0.063);(2.105,0.743,-0.597);(2.197,0.755,-0.557);(20.253,0.500,-20.000);0,1003151;0,1003151;0;0;0,1003195;0,1003195;0;0;28,3239;28,3239;0;0;4,33919;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
17;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,083243;0,044968;20170327T130751;60,80892;0;Direct;(0.163,1.650,0.018);(0.255,1.650,0.058);(0.080,1.028,0.024);(2.197,0.755,-0.557);(2.105,0.743,-0.597);(20.253,0.500,-20.000);0,1003186;0,1003186;0;0;0,1003195;0,1003195;0;0;28,36069;28,36069;0;0;5,466631;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
18;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,099941;0,016698;20170327T130751;60,72705;0;Direct;(0.255,1.650,0.058);(0.163,1.650,0.018);(0.074,1.001,0.063);(2.036,0.763,-0.589);(2.197,0.755,-0.557);(20.253,0.500,-20.000);0,1003221;0,1003221;0;0;0,1641493;0,1641493;0;0;28,3239;28,3239;0;0;7,390031;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
19;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,20785;0,107909;20170327T130751;60,42719;0;Direct;(0.094,1.650,0.026);(0.255,1.650,0.058);(0.023,1.012,-0.021);(1.988,0.774,-0.598);(2.036,0.763,-0.589);(20.253,0.500,-20.000);0,1641486;0,1641486;0;0;0,04883644;0,04883644;0;0;28,41524;28,41524;0;0;6,00756;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
20;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,338105;0,130255;20170327T130751;60,27959;0;Direct;(0.046,1.650,0.017);(0.094,1.650,0.026);(0.009,1.049,-0.021);(1.967,0.782,-0.602);(1.988,0.774,-0.598);(20.253,0.500,-20.000);0,04883679;0,04883679;0;0;0,02137759;0,02137759;0;0;28,44298;28,44298;0;0;4,59045;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
21;2;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,418329;0,080224;20170327T130751;60,16478;0;Direct;(0.025,1.650,0.013);(0.046,1.650,0.017);(0.011,1.099,0.000);(1.982,0.778,-0.597);(1.967,0.782,-0.602);(20.253,0.500,-20.000);0,02137747;0,02137747;0;0;0,01581137;0,01581137;0;0;28,45509;28,45509;0;0;3,71456;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
