Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra (*)
1;4;02_Sc_CWIP_Passthrough;Passthrough;0,196876;0,135308;20170324T133925;221,4022;0;Estacionario;(0.000,1.650,0.000);(0.000,1.650,0.000);(0.000,0.999,0.000);(1.957,0.723,-0.817);(1.951,0.688,-0.852);(20.253,0.500,-20.000);0;0;0;0;0,0355106;0;0;0,0355106;28,46373;0;0;28,46373;0,1835277;0,25;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
2;4;02_Sc_CWIP_Passthrough;Passthrough;0,325171;0,128295;20170324T133925;128,0522;0;Estacionario;(0.006,1.650,0.035);(0.000,1.650,0.000);(0.005,1.037,-0.006);(1.959,0.715,-0.832);(1.957,0.723,-0.817);(20.253,0.500,-20.000);0,03551067;0;0;0,03551067;0,01513279;0;0;0,01513279;28,48407;0;0;28,48407;0,1619317;0,275;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
3;4;02_Sc_CWIP_Passthrough;Passthrough;0,37249;0,047319;20170324T133925;115,0079;0;Estacionario;(0.008,1.650,0.020);(0.006,1.650,0.035);(0.003,1.025,-0.004);(1.948,0.671,-0.854);(1.959,0.715,-0.832);(20.253,0.500,-20.000);0,01513265;0;0;0,01513265;0,02459672;0;0;0,02459672;28,4721;0;0;28,4721;0,199665;0,275;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
4;4;02_Sc_CWIP_Passthrough;Passthrough;0,422582;0,050092;20170324T133925;105,3495;0;Estacionario;(-0.003,1.650,-0.002);(0.008,1.650,0.020);(-0.007,0.977,0.012);(1.950,0.682,-0.854);(1.948,0.671,-0.854);(20.253,0.500,-20.000);0,02459742;0;0;0,02459742;0,002000093;0;0;0,002000093;28,46446;0;0;28,46446;0,1145913;0,275;0;0,8;False;0;Closed;Unknown;0;1;False;Closed
5;4;02_Sc_CWIP_Passthrough;Passthrough;0,532448;0,109866;20170324T133925;92,12039;0;Estacionario;(-0.001,1.650,-0.002);(-0.003,1.650,-0.002);(-0.002,0.991,0.004);(1.948,0.682,-0.828);(1.950,0.682,-0.854);(20.253,0.500,-20.000);0,002002716;0;0;0,002002716;0,02607678;0;0;0,02607678;28,46304;0;0;28,46304;0,1560952;0,175;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
6;4;02_Sc_CWIP_Passthrough;Passthrough;0,623612;0,091164;20170324T133925;83,61548;0;Estacionario;(-0.003,1.650,0.024);(-0.001,1.650,-0.002);(-0.005,0.989,0.021);(1.955,0.705,-0.839);(1.948,0.682,-0.828);(20.253,0.500,-20.000);0,02607698;0;0;0,02607698;0,01303843;0;0;0,01303843;28,48274;0;0;28,48274;0,1640831;0,3865591;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
7;4;02_Sc_CWIP_Passthrough;Passthrough;0,707359;0,083747;20170324T133926;77,79759;0;Estacionario;(0.004,1.650,0.013);(-0.003,1.650,0.024);(0.003,1.018,-0.006);(1.954,0.704,-0.811);(1.955,0.705,-0.839);(20.253,0.500,-20.000);0,01303837;0;0;0,01303837;0,02801785;0;0;0,02801785;28,47002;0;0;28,47002;0,2059979;0,3865591;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
8;4;02_Sc_CWIP_Passthrough;Passthrough;0,808177;0,100818;20170324T133926;72,00908;0;Estacionario;(0.003,1.650,0.041);(0.004,1.650,0.013);(-0.002,1.014,0.018);(1.957,0.723,-0.817);(1.954,0.704,-0.811);(20.253,0.500,-20.000);0,02801769;0;0;0,02801769;0,006708197;0;0;0,006708197;28,49042;0;0;28,49042;0,1546592;0,3116844;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
11;4;02_Sc_CWIP_Passthrough;Passthrough;1,07596;0,07172;20170324T133926;64,64053;0;Estacionario;(0.003,1.650,0.041);(0.007,1.650,0.051);(-0.002,1.014,0.018);(1.958,0.721,-0.801);(1.954,0.704,-0.811);(20.253,0.500,-20.000);0,01077092;0;0;0,01077092;0,0107703;0;0;0,0107703;28,49043;0;0;28,49043;0,1688391;0,3194144;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
12;4;02_Sc_CWIP_Passthrough;Passthrough;1,108349;0,032389;20170324T133926;64,14442;0;Estacionario;(0.007,1.650,0.051);(0.003,1.650,0.041);(0.001,1.033,0.011);(1.962,0.733,-0.804);(1.958,0.721,-0.801);(20.253,0.500,-20.000);0,01077092;0;0;0,01077092;0,005000066;0;0;0,005000066;28,49462;0;0;28,49462;0,1250728;0,2798107;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
13;4;02_Sc_CWIP_Passthrough;Passthrough;1,171996;0,063647;20170324T133926;63,31349;0;Estacionario;(0.011,1.650,0.048);(0.007,1.650,0.051);(0.005,1.048,0.000);(1.962,0.733,-0.804);(1.962,0.733,-0.804);(20.253,0.500,-20.000);0,004998255;0;0;0,004998255;0;0;0;0;28,48966;0;0;28,48966;0,06662276;0,1997417;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
14;4;02_Sc_CWIP_Passthrough;Passthrough;1,309175;0,137179;20170324T133926;62,13346;0;Estacionario;(0.011,1.650,0.048);(0.011,1.650,0.048);(0.005,1.048,0.000);(1.962,0.734,-0.809);(1.962,0.733,-0.804);(20.253,0.500,-20.000);3,814697E-06;0;0;3,814697E-06;0,004999995;0;0;0,004999995;28,48966;0;0;28,48966;0,06941766;0,1997417;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
15;4;02_Sc_CWIP_Passthrough;Passthrough;1,409869;0,100694;20170324T133926;61,54045;0;Estacionario;(0.011,1.650,0.043);(0.011,1.650,0.048);(0.009,1.055,0.002);(1.962,0.733,-0.816);(1.962,0.734,-0.809);(20.253,0.500,-20.000);0,004999995;0;0;0,004999995;0,006999969;0;0;0,006999969;28,48614;0;0;28,48614;0,08131055;0,1997417;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
16;4;02_Sc_CWIP_Passthrough;Passthrough;1,506852;0,096983;20170324T133926;61,11523;0;Estacionario;(0.011,1.650,0.036);(0.011,1.650,0.043);(0.010,1.056,0.006);(1.962,0.732,-0.817);(1.962,0.733,-0.816);(20.253,0.500,-20.000);0,00699997;0;0;0,00699997;0,0009999871;0;0;0,0009999871;28,48122;0;0;28,48122;0,05030119;0,1997417;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
17;4;02_Sc_CWIP_Passthrough;Passthrough;1,610967;0,104115;20170324T133926;60,80892;0;Estacionario;(0.011,1.650,0.035);(0.011,1.650,0.036);(0.012,1.056,0.007);(1.962,0.731,-0.818);(1.962,0.732,-0.817);(20.253,0.500,-20.000);0,0009999871;0;0;0,0009999871;0,001000047;0;0;0,001000047;28,48052;0;0;28,48052;0,03351138;0,1997417;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
18;4;02_Sc_CWIP_Passthrough;Passthrough;1,644263;0,033296;20170324T133926;60,72705;0;Estacionario;(0.011,1.650,0.034);(0.011,1.650,0.035);(0.014,1.056,0.009);(1.961,0.728,-0.816);(1.962,0.731,-0.818);(20.253,0.500,-20.000);0,001000054;0;0;0,001000054;0,002236119;0;0;0,002236119;28,47981;0;0;28,47981;0,03240076;0,1997417;0;0,8;False;0;Closed;Unknown;0;1;False;Closed
19;4;02_Sc_CWIP_Passthrough;Passthrough;1,711503;0,06724;20170324T133927;60,58755;0;Estacionario;(0.010,1.650,0.036);(0.011,1.650,0.034);(0.014,1.053,0.012);(1.961,0.727,-0.815);(1.961,0.728,-0.816);(20.253,0.500,-20.000);0,002235853;0;0;0,002235853;0,0009999871;0;0;0,0009999871;28,48193;0;0;28,48193;0,02288242;0,1997417;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
20;4;02_Sc_CWIP_Passthrough;Passthrough;1,795233;0,08373;20170324T133927;60,47503;0;Estacionario;(0.010,1.650,0.037);(0.010,1.650,0.036);(0.014,1.051,0.014);(1.961,0.725,-0.813);(1.961,0.727,-0.815);(20.253,0.500,-20.000);0,0009999945;0;0;0,0009999945;0,001999974;0;0;0,001999974;28,48264;0;0;28,48264;0,0249539;0,1997417;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
21;4;02_Sc_CWIP_Passthrough;Passthrough;1,828643;0,03341;20170324T133927;60,42719;0;Estacionario;(0.010,1.650,0.039);(0.010,1.650,0.037);(0.013,1.048,0.017);(1.960,0.725,-0.814);(1.961,0.725,-0.813);(20.253,0.500,-20.000);0,001999978;0;0;0,001999978;0,001414153;0;0;0,001414153;28,48404;0;0;28,48404;0,02325797;0,1997417;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
23;4;02_Sc_CWIP_Passthrough;Passthrough;2,084767;0,121458;20170324T133927;60,25152;0;Estacionario;(0.009,1.650,0.038);(0.009,1.650,0.038);(0.013,1.047,0.019);(1.960,0.723,-0.814);(1.960,0.723,-0.814);(20.253,0.500,-20.000);0;0;0;0;0;0;0;0;28,48405;0;0;28,48405;0,006599203;0,1997417;0;0,8;False;0;Closed;Unknown;0;1;False;Closed
24;4;02_Sc_CWIP_Passthrough;Passthrough;2,131322;0,046555;20170324T133927;60,22627;0;Estacionario;(0.009,1.650,0.038);(0.009,1.650,0.038);(0.013,1.047,0.019);(1.959,0.722,-0.813);(1.960,0.723,-0.814);(20.253,0.500,-20.000);3,814697E-06;0;0;3,814697E-06;0,001414238;0;0;0,001414238;28,48405;0;0;28,48405;0,01032718;0,1997417;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
25;4;02_Sc_CWIP_Passthrough;Passthrough;2,182746;0,051424;20170324T133927;60,20357;0;Estacionario;(0.008,1.650,0.039);(0.009,1.650,0.038);(0.010,1.041,0.029);(1.955,0.702,-0.824);(1.959,0.722,-0.813);(20.253,0.500,-20.000);0,001416515;0;0;0,001416515;0,01170466;0;0;0,01170466;28,48546;0;0;28,48546;0,0547263;0,1997417;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
26;4;02_Sc_CWIP_Passthrough;Passthrough;2,236941;0,054195;20170324T133927;60,18315;0;Estacionario;(0.004,1.650,0.028);(0.008,1.650,0.039);(0.005,1.015,0.039);(1.955,0.702,-0.824);(1.955,0.702,-0.824);(20.253,0.500,-20.000);0,01170393;0;0;0,01170393;0;0;0;0;28,48057;0;0;28,48057;0,02915116;0,1997417;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
27;4;02_Sc_CWIP_Passthrough;Passthrough;2,415295;0,178354;20170324T133927;60,108;0;Estacionario;(0.004,1.650,0.028);(0.004,1.650,0.028);(0.005,1.015,0.039);(1.955,0.700,-0.825);(1.955,0.702,-0.824);(20.253,0.500,-20.000);3,814697E-06;0;0;3,814697E-06;0,0009999871;0;0;0,0009999871;28,48057;0;0;28,48057;0,02219431;0,1997417;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
28;4;02_Sc_CWIP_Passthrough;Passthrough;2,448333;0,033038;20170324T133927;60,09718;0;Estacionario;(0.004,1.650,0.027);(0.004,1.650,0.028);(0.005,1.019,0.037);(1.952,0.699,-0.828);(1.955,0.700,-0.825);(20.253,0.500,-20.000);0,0009999945;0;0;0,0009999945;0,00424267;0;0;0,00424267;28,47987;0;0;28,47987;0,03966688;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
29;4;02_Sc_CWIP_Passthrough;Passthrough;2,545401;0,097068;20170324T133927;60,07082;0;Estacionario;(0.001,1.650,0.024);(0.004,1.650,0.027);(0.005,1.022,0.033);(1.950,0.699,-0.829);(1.952,0.699,-0.828);(20.253,0.500,-20.000);0,004241491;0;0;0,004241491;0,002236039;0;0;0,002236039;28,47989;0;0;28,47989;0,03665953;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
30;4;02_Sc_CWIP_Passthrough;Passthrough;2,629335;0,083934;20170324T133927;60,05161;0;Estacionario;(-0.001,1.650,0.023);(0.001,1.650,0.024);(0.005,1.026,0.029);(1.948,0.702,-0.832);(1.950,0.699,-0.829);(20.253,0.500,-20.000);0,002238492;0;0;0,002238492;0,003605621;0;0;0,003605621;28,48061;0;0;28,48061;0,05766122;0;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
