Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra
0;0;02_Sc_CWIP_Passthrough;Passthrough;0,000876;0,104647;20170324T134013;60,03761;0,044215;WIP;(0.188,1.650,-0.751);(0.183,1.650,-0.733);(0.182,1.044,-0.805);(1.953,0.713,-0.825);(1.953,0.713,-0.825);(20.253,0.500,-20.000);0,01793904;0;0,01793904;0;0;0;0;0;27,80524;0;27,80524;0;0,0112984;0,2583591;0,01142335;0,8;False;0;Unknown;Unknown;0;1;True;Reset Human
1;0;02_Sc_CWIP_Passthrough;Passthrough;0,199484;0,198608;20170324T134013;60,01617;0,198637;WIP;(0.240,1.650,-0.982);(0.188,1.650,-0.751);(0.235,1.044,-1.047);(1.953,0.713,-0.825);(1.953,0.713,-0.825);(20.253,0.500,-20.000);0,2372532;0;0,2372532;0;0;0;0;0;27,60803;0;27,60803;0;0,00601834;0,2003451;0,03979594;0,8;False;0;Unknown;Unknown;0;1;True;NULL
2;0;02_Sc_CWIP_Passthrough;Passthrough;0,316607;0,117123;20170324T134013;60,00955;0,098189;WIP;(0.253,1.650,-1.041);(0.240,1.650,-0.982);(0.248,1.044,-1.106);(1.953,0.713,-0.827);(1.953,0.713,-0.825);(20.253,0.500,-20.000);0,0602404;0;0,0602404;0;0,002000034;0;0,002000034;0;27,55806;0;27,55806;0;0,01602853;0,2003451;0,01967168;0,8;False;0;Unknown;Unknown;0;1;True;NULL
3;0;02_Sc_CWIP_Passthrough;Passthrough;0,400491;0,083884;20170324T134013;60,00627;0,080939;WIP;(0.262,1.650,-1.084);(0.253,1.650,-1.041);(0.259,1.041,-1.159);(1.953,0.713,-0.827);(1.953,0.713,-0.827);(20.253,0.500,-20.000);0,04370202;0;0,04370202;0;0;0;0;0;27,52225;0;27,52225;0;0,008537951;0,2003451;0,01621573;0,8;False;0;Unknown;Unknown;0;1;True;NULL
4;0;02_Sc_CWIP_Passthrough;Passthrough;0,51434;0,113849;20170324T134013;60,0037;0,103779;WIP;(0.275,1.650,-1.149);(0.262,1.650,-1.084);(0.272,1.041,-1.224);(1.954,0.716,-0.831);(1.953,0.713,-0.827);(20.253,0.500,-20.000);0,06640006;0;0,06640006;0;0,004123067;0;0,004123067;0;27,46789;0;27,46789;0;0,03506761;0,2003451;0,02079161;0,8;False;0;Unknown;Unknown;0;1;True;NULL
5;0;02_Sc_CWIP_Passthrough;Passthrough;0,618553;0,104213;20170324T134013;60,00243;0,097434;WIP;(0.286,1.650,-1.198);(0.275,1.650,-1.149);(0.284,1.042,-1.274);(1.954,0.716,-0.831);(1.954,0.716,-0.831);(20.253,0.500,-20.000);0,04992708;0;0,04992708;0;0;0;0;0;27,42669;0;27,42669;0;0,01867953;0,2003451;0,01952042;0,8;False;0;Unknown;Unknown;0;1;True;NULL
6;0;02_Sc_CWIP_Passthrough;Passthrough;0,702405;0,083852;20170324T134013;60,00177;0,095126;WIP;(0.294,1.650,-1.235);(0.286,1.650,-1.198);(0.292,1.042,-1.311);(1.952,0.714,-0.827);(1.954,0.716,-0.831);(20.253,0.500,-20.000);0,03867304;0;0,03867304;0;0,004472078;0;0,004472078;0;27,3948;0;27,3948;0;0,07259787;0,2003451;0,01905802;0,8;False;0;Unknown;Unknown;0;1;True;NULL
7;0;02_Sc_CWIP_Passthrough;Passthrough;0,82044;0,118035;20170324T134014;60,00116;0,099569;WIP;(0.305,1.650,-1.282);(0.294,1.650,-1.235);(0.296,1.037,-1.351);(1.952,0.714,-0.827);(1.952,0.714,-0.827);(20.253,0.500,-20.000);0,04825475;0;0,04825475;0;0;0;0;0;27,35434;0;27,35434;0;0,03867085;0,2003451;0,01994816;0,8;False;0;Unknown;Unknown;0;1;True;NULL
8;0;02_Sc_CWIP_Passthrough;Passthrough;0,849766;0,029326;20170324T134014;60,00105;0,03159;WIP;(0.307,1.650,-1.288);(0.305,1.650,-1.282);(0.298,1.037,-1.357);(1.951,0.714,-0.822);(1.952,0.714,-0.827);(20.253,0.500,-20.000);0,006328782;0;0,006328782;0;0,005099024;0;0,005099024;0;27,34904;0;27,34904;0;0,05970366;0,2003451;0,0063289;0,8;False;0;Unknown;Unknown;0;1;True;NULL
10;0;02_Sc_CWIP_Passthrough;Passthrough;1,016799;0,113653;20170324T134014;60,00045;0,101521;WIP;(0.334,1.650,-1.375);(0.314,1.650,-1.314);(0.316,1.020,-1.416);(1.949,0.697,-0.829);(1.949,0.696,-0.831);(20.253,0.500,-20.000);0,06402945;0;0,06402945;0;0,001999974;0;0,001999974;0;27,27026;0;27,27026;0;0,08668341;0,2059166;0,02090486;0,8;False;0;Unknown;Unknown;0;1;True;NULL
