1;Indicator Limit 3;(-2.178,1.500,-1.769);(-2.277,1.650,-1.663);Direct;20170227T181943
2;Indicator Limit 0;(-0.678,1.500,-0.269);(-0.579,1.650,-0.035);Direct;20170227T181950
