Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra (*)
2;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,1465977;0,0755503;20170323T192727;60,00002;0;Estacionario;(-0.005,1.650,-0.015);(0.000,1.650,0.000);(-0.006,1.056,0.021);(2.149,0.857,-0.967);(2.153,0.855,-0.955);(20.253,0.500,-20.000);0,01581171;0;0;0,01581171;0,01264919;0;0;0,01264919;28,45675;0;0;28,45675;0,2303392;0,2288959;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
3;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,2161445;0,0695468;20170323T192727;60,00002;0;Estacionario;(-0.009,1.650,-0.027);(-0.005,1.650,-0.015);(-0.012,1.042,0.039);(2.143,0.858,-0.975);(2.149,0.857,-0.967);(20.253,0.500,-20.000);0,01264844;0;0;0,01264844;0,01000004;0;0;0,01000004;28,45117;0;0;28,45117;0,2389425;0,2288959;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
4;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,2886925;0,072548;20170323T192727;60,00002;0;Estacionario;(-0.015,1.650,-0.035);(-0.009,1.650,-0.027);(-0.019,1.030,0.052);(2.137,0.858,-0.980);(2.143,0.858,-0.975);(20.253,0.500,-20.000);0,01000261;0;0;0,01000261;0,007810096;0;0;0,007810096;28,44984;0;0;28,44984;0,1941092;0,2288959;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
5;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,3347231;0,0460306;20170323T192727;60,00002;0;Estacionario;(-0.021,1.650,-0.040);(-0.015,1.650,-0.035);(-0.026,1.020,0.062);(2.133,0.857,-0.982);(2.137,0.858,-0.980);(20.253,0.500,-20.000);0,007807715;0;0;0,007807715;0,004472292;0;0;0,004472292;28,4506;0;0;28,4506;0,1621321;0,2288959;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
6;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,4237824;0,0890593;20170323T192727;60,00002;0;Estacionario;(-0.025,1.650,-0.042);(-0.021,1.650,-0.040);(-0.029,1.012,0.067);(2.130,0.856,-0.973);(2.133,0.857,-0.982);(20.253,0.500,-20.000);0,004473571;0;0;0,004473571;0,009486767;0;0;0,009486767;28,45205;0;0;28,45205;0,206963;0,2288959;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
7;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,4763163;0,0525339;20170323T192727;60,00002;0;Estacionario;(-0.028,1.650,-0.033);(-0.025,1.650,-0.042);(-0.033,1.002,0.076);(2.130,0.853,-0.956);(2.130,0.856,-0.973);(20.253,0.500,-20.000);0,009486315;0;0;0,009486315;0,01700002;0;0;0,01700002;28,4605;0;0;28,4605;0,3335849;0,2288959;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
8;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,5213473;0,045031;20170323T192727;60,00002;0;Estacionario;(-0.028,1.650,-0.016);(-0.028,1.650,-0.033);(-0.031,0.998,0.089);(2.125,0.853,-0.959);(2.130,0.853,-0.956);(20.253,0.500,-20.000);0,01700002;0;0;0,01700002;0,005831061;0;0;0,005831061;28,47243;0;0;28,47243;0,2518156;0,2288959;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
9;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,6169216;0,0955743;20170323T192727;60,00002;0;Estacionario;(-0.033,1.650,-0.019);(-0.028,1.650,-0.016);(-0.035,0.996,0.084);(2.120,0.852,-0.961);(2.125,0.853,-0.959);(20.253,0.500,-20.000);0,005831879;0;0;0,005831879;0,005385283;0;0;0,005385283;28,47389;0;0;28,47389;0,1812959;0,2288959;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
10;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,6614511;0,0445295;20170323T192727;60,00002;0;Estacionario;(-0.038,1.650,-0.021);(-0.033,1.650,-0.019);(-0.040,0.995,0.078);(2.117,0.850,-0.962);(2.120,0.852,-0.961);(20.253,0.500,-20.000);0,005382627;0;0;0,005382627;0,003162067;0;0;0,003162067;28,47604;0;0;28,47604;0,1367658;0,2288959;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
11;4;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,7084821;0,047031;20170323T192728;60,00002;0;Estacionario;(-0.041,1.650,-0.022);(-0.038,1.650,-0.021);(-0.043,0.996,0.074);(2.114,0.849,-0.964);(2.117,0.850,-0.962);(20.253,0.500,-20.000);0,003164329;0;0;0,003164329;0,003605554;0;0;0,003605554;28,47748;0;0;28,47748;0,1186886;0,2288959;0;0,8;False;0;Unknown;Unknown;0;1;False;NULL
